locus_tag	product	protein_id	go_function	go_process	go_component	gene	GOs	Description	KEGG_ko	KEGG_Module	BRITE	KEGG_TC	CAZy	PFAMs
NCS66_RS00170	OsmC family protein	WP_175979696.1					-	PFAM OsmC family protein	-	-	-	-	-	OsmC
NCS66_RS00185	LysR family transcriptional regulator	WP_250480191.1	DNA-binding transcription activator activity|0001216||IEA				-	Transcriptional regulator, LysR family	-	-	-	-	-	HTH_1,LysR_substrate
NCS66_RS00190	DNA topoisomerase III	WP_034470315.1	DNA topoisomerase activity|0003916||IEA	DNA topological change|0006265||IEA			-	dna topoisomerase III	ko:K03169	-	ko00000,ko01000,ko03032	-	-	SWIB,Topoisom_bac,Toprim,Toprim_Crpt
NCS66_RS00195	thioredoxin family protein	WP_175979698.1					-	Thioredoxin	-	-	-	-	-	Thioredoxin
NCS66_RS00220	zinc metalloprotease HtpX	WP_008352188.1	metalloendopeptidase activity|0004222||IEA	proteolysis|0006508||IEA		htpX	-	Belongs to the peptidase M48B family	ko:K03799	M00743	ko00000,ko00002,ko01000,ko01002	-	-	Peptidase_M48
NCS66_RS00230	DUF4390 domain-containing protein	WP_008352184.1					-	signal peptide protein	-	-	-	-	-	DUF4390
NCS66_RS00235	PAS domain-containing sensor histidine kinase	WP_284502244.1					-	Histidine kinase	-	-	-	-	-	HAMP,HATPase_c,HisKA,PAS_4,PAS_7,PAS_8
NCS66_RS00240	response regulator transcription factor EsaR	WP_250438795.1				esaR	-	response regulator	-	-	-	-	-	HTH_8,Response_reg,Sigma54_activ_2
NCS66_RS00250	glycosyl hydrolase	WP_250435417.1					-	6-phospho-beta-galactosidase activity	-	-	-	-	-	Glyco_hydro_cc
NCS66_RS00275	tetratricopeptide repeat protein	WP_034470327.1	protein binding|0005515||IEA				-	PFAM Sel1 domain protein repeat-containing protein	ko:K07126	-	ko00000	-	-	Sel1
NCS66_RS00305	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	WP_008352020.1	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity|0050567||IEA	regulation of translational fidelity|0006450||IEA	glutamyl-tRNA(Gln) amidotransferase complex|0030956||IEA	gatC	-	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln)	ko:K02435	-	ko00000,ko00001,ko01000,ko03029	-	-	Glu-tRNAGln
NCS66_RS00310	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	WP_250480197.1	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity|0050567||IEA	glutamyl-tRNA aminoacylation|0006424||IEA	glutamyl-tRNA(Gln) amidotransferase complex|0030956||IEA	gatA	-	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln)	ko:K02433	-	ko00000,ko00001,ko01000,ko03029	-	-	Amidase
NCS66_RS00315	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	WP_175979710.1	carbon-nitrogen ligase activity, with glutamine as amido-N-donor|0016884||IEA			gatB	-	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln)	ko:K02434	-	ko00000,ko00001,ko01000,ko03029	-	-	GatB_N,GatB_Yqey
NCS66_RS00320	PPK2 family polyphosphate kinase	WP_175979711.1	phosphotransferase activity, phosphate group as acceptor|0016776||IEA	polyphosphate metabolic process|0006797||IEA	cellular_component|0005575||IEA		-	Polyphosphate kinase 2 (PPK2)	ko:K00937	-	ko00000,ko00001,ko01000,ko03019	-	-	PPK2
NCS66_RS00325	exodeoxyribonuclease III	WP_250480198.1	nuclease activity|0004518||IEA	DNA repair|0006281||IEA			-	Exodeoxyribonuclease III	ko:K01142	-	ko00000,ko00001,ko01000,ko03400	-	-	Exo_endo_phos
NCS66_RS00330	M48 family metallopeptidase	WP_250480199.1					-	Peptidase M48	-	-	-	-	-	Peptidase_M48
NCS66_RS00340	methionine biosynthesis protein MetW	WP_008352006.1		methionine biosynthetic process|0009086||IEA		metW	-	Methionine biosynthesis protein MetW	-	-	-	-	-	MetW
NCS66_RS00345	homoserine O-acetyltransferase	WP_008352005.1	acyltransferase activity, transferring groups other than amino-acyl groups|0016747||IEA	biosynthetic process|0009058||IEA			-	Transfers a succinyl group from succinyl-CoA to L- homoserine, forming succinyl-L-homoserine	ko:K00641	-	ko00000,ko00001,ko01000	-	-	Abhydrolase_1
NCS66_RS00350	type II toxin-antitoxin system Phd/YefM family antitoxin	WP_250480200.1			toxin-antitoxin complex|0110001||IEA		-	Antitoxin component of a toxin-antitoxin (TA) module	-	-	-	-	-	PhdYeFM_antitox
NCS66_RS00355	type II toxin-antitoxin system RelE/ParE family toxin	WP_008352003.1	protein homodimerization activity|0042803||IEA	protein heterotetramerization|0051290||IEA			-	ParE toxin of type II toxin-antitoxin system, parDE	-	-	-	-	-	ParE_toxin
NCS66_RS00360	pyrimidine 5'-nucleotidase	WP_008352002.1					-	had-superfamily hydrolase subfamily ia, variant 3	ko:K07025	-	ko00000	-	-	HAD_2
NCS66_RS00370	cysteine-rich CWC family protein	WP_235366273.1					-	Cysteine-rich CWC	-	-	-	-	-	Cys_rich_CWC
NCS66_RS00375	ATP-binding protein	WP_008351999.1					-	histidine kinase A domain protein	ko:K15011	M00523	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	HATPase_c
NCS66_RS00380	response regulator transcription factor	WP_250480201.1					-	response regulator	ko:K15012	M00523	ko00000,ko00001,ko00002,ko02022	-	-	HTH_8,Response_reg
NCS66_RS00385	methyl-accepting chemotaxis protein	WP_175979717.1		signal transduction|0007165||IEA	membrane|0016020||IEA		-	Chemotaxis sensory transducer	-	-	-	-	-	4HB_MCP_1,HAMP,MCPsignal,PAS_3,TarH
NCS66_RS00395	hypothetical protein	WP_250480202.1					-	-	-	-	-	-	-	-
NCS66_RS00400	PAAR domain-containing protein	WP_250480203.1					-	PAAR motif	-	-	-	-	-	PAAR_motif
NCS66_RS00405	hypothetical protein	WP_250480204.1					-	-	-	-	-	-	-	-
NCS66_RS00410	hypothetical protein	WP_250480206.1					-	-	-	-	-	-	-	-
NCS66_RS00425	EAL domain-containing protein	WP_008351986.1					-	PFAM EAL domain protein	-	-	-	-	-	EAL
NCS66_RS00430	indolepyruvate ferredoxin oxidoreductase family protein	WP_250480208.1					-	oxidoreductase	ko:K04090	-	br01601,ko00000,ko01000	-	-	POR,TPP_enzyme_C
NCS66_RS00440	hypothetical protein	WP_008351976.1					-	-	-	-	-	-	-	-
NCS66_RS00445	hypothetical protein	WP_008351974.1					-	-	-	-	-	-	-	-
NCS66_RS00455	AGE family epimerase/isomerase	WP_250480209.1					-	N-acylglucosamine 2-epimerase	-	-	-	-	-	GlcNAc_2-epim
NCS66_RS00460	LacI family DNA-binding transcriptional regulator	WP_008351968.1	sequence-specific DNA binding|0043565||IEA	negative regulation of DNA-templated transcription|0045892||IEA			-	periplasmic binding protein LacI transcriptional regulator	-	-	-	-	-	LacI,Peripla_BP_3
NCS66_RS00465	SAM-dependent methyltransferase	WP_034470354.1	S-adenosylmethionine-dependent methyltransferase activity|0008757||IEA	nodulation|0009877||IEA			-	Nodulation protein S (NodS)	-	-	-	-	-	Methyltransf_25,NodS
NCS66_RS00470	PIG-L family deacetylase	WP_034470357.1	deacetylase activity|0019213||IEA				-	GlcNAc-PI de-N-acetylase	-	-	-	-	-	PIG-L
NCS66_RS00475	acyl-CoA dehydrogenase	WP_250478604.1					-	acyl-CoA dehydrogenase	-	-	-	-	-	-
NCS66_RS00485	hypothetical protein	WP_250480210.1					-	-	-	-	-	-	-	-
NCS66_RS00490	porin	WP_008351956.1	porin activity|0015288||IEA		cell outer membrane|0009279||IEA		-	PFAM porin Gram-negative type	-	-	-	-	-	Porin_4
NCS66_RS00495	nitronate monooxygenase family protein	WP_250480211.1	monooxygenase activity|0004497||IEA				-	2-Nitropropane dioxygenase	ko:K00459	-	ko00000,ko00001,ko01000	-	-	NMO
NCS66_RS00500	alpha/beta hydrolase	WP_250456646.1	hydrolase activity|0016787||IEA				-	Alpha beta hydrolase	ko:K01561	-	ko00000,ko00001,ko01000	-	-	Abhydrolase_1
NCS66_RS00505	MBL fold metallo-hydrolase	WP_250478606.1	metal ion binding|0046872||IEA				-	beta-lactamase	-	-	-	-	-	Lactamase_B
NCS66_RS00510	DUF1289 domain-containing protein	WP_250480307.1					-	PFAM MaoC domain protein dehydratase	-	-	-	-	-	DUF1289,MaoC_dehydrat_N,MaoC_dehydratas
NCS66_RS00515	YbaK/EbsC family protein	WP_250480212.1					-	ybak prolyl-trna synthetase associated region	-	-	-	-	-	tRNA_edit
NCS66_RS00550	CocE/NonD family hydrolase	WP_034470383.1	hydrolase activity|0016787||IEA				-	X-Pro dipeptidyl-peptidase (S15 family)	-	-	-	-	-	Peptidase_S15,Peptidase_S9
NCS66_RS00565	SDR family oxidoreductase	WP_008351935.1	oxidoreductase activity|0016491||IEA				-	short-chain dehydrogenase	-	-	-	-	-	adh_short
NCS66_RS00570	5-demethoxyubiquinol-8 5-hydroxylase UbiM	WP_250480217.1	FAD binding|0071949||IEA	ubiquinone biosynthetic process|0006744||IEA		ubiM	-	FAD binding domain	ko:K03184	M00117	ko00000,ko00001,ko00002,ko01000	-	-	FAD_binding_3
NCS66_RS00600	MerR family DNA-binding transcriptional regulator	WP_008351922.1	DNA-binding transcription factor activity|0003700||IEA				-	Transcriptional regulator	-	-	-	-	-	MerR,MerR-DNA-bind,MerR_1
NCS66_RS00605	MBL fold metallo-hydrolase	WP_250480221.1					-	PFAM beta-lactamase domain protein	-	-	-	-	-	Lactamase_B
NCS66_RS00620	hypothetical protein	WP_250433464.1					-	-	-	-	-	-	-	-
NCS66_RS00625	hypothetical protein	WP_250433467.1					-	ATP-grasp	-	-	-	-	-	ATP-grasp_3
NCS66_RS00630	dTDP-4-amino-4,6-dideoxy-D-glucose aminotransferase VioA	WP_250480222.1				vioA	-	Belongs to the DegT DnrJ EryC1 family	ko:K20429	-	ko00000,ko01000	-	-	DegT_DnrJ_EryC1
NCS66_RS00635	tetratricopeptide repeat protein	WP_250478616.1					-	Tetratricopeptide TPR_2 repeat protein	-	-	-	-	-	Glyco_tranf_2_5,Glyco_transf_41,Methyltransf_12,TPR_1,TPR_11,TPR_16,TPR_19,TPR_2,TPR_8
NCS66_RS00640	flagellar protein FliT	WP_250433483.1					-	Flagellar protein FliT	-	-	-	-	-	FliT
NCS66_RS00645	flagellar filament capping protein FliD	WP_250480223.1		cell adhesion|0007155||IEA	bacterial-type flagellum|0009288||IEA	fliD	-	Required for morphogenesis and for the elongation of the flagellar filament by facilitating polymerization of the flagellin monomers at the tip of growing filament. Forms a capping structure, which prevents flagellin subunits (transported through the central channel of the flagellum) from leaking out without polymerization at the distal end	ko:K02407	-	ko00000,ko00001,ko02035	-	-	Flagellin_IN,FliD_C,FliD_N
NCS66_RS00650	flagellin	WP_250433509.1					GO:0005575,GO:0005576,GO:0005623,GO:0009288,GO:0042995,GO:0043226,GO:0043228,GO:0044464	Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella	ko:K02406	-	ko00000,ko00001,ko02035	-	-	Flagellin_C,Flagellin_N,FliC,FliC_SP
NCS66_RS00665	hypothetical protein	WP_239294315.1					-	-	-	-	-	-	-	-
NCS66_RS00670	hypothetical protein	WP_175979735.1					-	-	-	-	-	-	-	-
NCS66_RS00690	hypothetical protein	WP_008351896.1					-	-	-	-	-	-	-	PXPV
NCS66_RS00700	glycosyltransferase family 4 protein	WP_008351894.1					-	PFAM glycosyl transferase group 1	-	-	-	-	-	Glyco_trans_4_4,Glyco_transf_4,Glycos_transf_1
NCS66_RS00705	flagellar transcriptional regulator FlhD	WP_008351892.1	DNA binding|0003677||IEA	regulation of bacterial-type flagellum assembly|1902208||IEA		flhD	-	Functions in complex with FlhC as a master transcriptional regulator that regulates transcription of several flagellar and non-flagellar operons by binding to their promoter region. Activates expression of class 2 flagellar genes, including fliA, which is a flagellum-specific sigma factor that turns on the class 3 genes. Also regulates genes whose products function in a variety of physiological pathways	ko:K02403	-	ko00000,ko00001,ko02035	-	-	FlhD
NCS66_RS00715	hypothetical protein	WP_250480224.1					-	-	-	-	-	-	-	-
NCS66_RS00730	response regulator	WP_008351883.1		phosphorelay signal transduction system|0000160||IEA			-	Pfam Response regulator receiver	ko:K03413	M00506	ko00000,ko00001,ko00002,ko02022,ko02035	-	-	Response_reg
NCS66_RS00755	chemoreceptor glutamine deamidase CheD	WP_033536555.1				cheD	-	Probably deamidates glutamine residues to glutamate on methyl-accepting chemotaxis receptors (MCPs), playing an important role in chemotaxis	ko:K03411	-	ko00000,ko00001,ko01000,ko02035	-	-	CheD
NCS66_RS00775	DUF2844 domain-containing protein	WP_034470771.1					-	Protein of unknown function (DUF2844)	-	-	-	-	-	DUF2844
NCS66_RS00780	DUF3443 domain-containing protein	WP_034470435.1					-	Protein of unknown function (DUF3443)	-	-	-	-	-	DUF3443
NCS66_RS00785	SDR family oxidoreductase	WP_250480226.1	oxidoreductase activity|0016491||IEA				-	Belongs to the short-chain dehydrogenases reductases (SDR) family	-	-	-	-	-	adh_short
NCS66_RS00790	thiol:disulfide interchange protein DsbA/DsbL	WP_034470441.1	protein-disulfide reductase activity|0015035||IEA				-	Thiol disulfide interchange protein	ko:K03673	M00728	ko00000,ko00001,ko00002,ko03110	-	-	DSBA,Thioredoxin
NCS66_RS00795	SPOR domain-containing protein	WP_008351857.1	peptidoglycan binding|0042834||IEA				-	cell division protein	-	-	-	-	-	SPOR
NCS66_RS00800	arginine--tRNA ligase	WP_250480227.1	ATP binding|0005524||IEA	arginyl-tRNA aminoacylation|0006420||IEA	cytoplasm|0005737||IEA	argS	-	Arginyl-tRNA synthetase	ko:K01887	M00359,M00360	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016,ko03029	-	-	Arg_tRNA_synt_N,DALR_1,tRNA-synt_1d
NCS66_RS00805	DUF1840 domain-containing protein	WP_008351853.1					-	Domain of unknown function (DUF1840)	-	-	-	-	-	DUF1840
NCS66_RS00810	hypothetical protein	WP_008351852.1					-	-	-	-	-	-	-	-
NCS66_RS00825	DUF3567 domain-containing protein	WP_008351849.1					-	Protein of unknown function (DUF3567)	-	-	-	-	-	DUF3567
NCS66_RS00835	DUF3108 domain-containing protein	WP_250480228.1					-	Protein of unknown function (DUF3108)	-	-	-	-	-	DUF3108
NCS66_RS00840	IclR family transcriptional regulator	WP_250438904.1	DNA-binding transcription factor activity|0003700||IEA	regulation of DNA-templated transcription|0006355||IEA			-	Transcriptional regulator	-	-	-	-	-	HTH_IclR,IclR
NCS66_RS00860	PhaM family polyhydroxyalkanoate granule multifunctional regulatory protein	WP_250438926.1					-	-	-	-	-	-	-	-
NCS66_RS00865	MerR family transcriptional regulator	WP_239294312.1	DNA binding|0003677||IEA	regulation of DNA-templated transcription|0006355||IEA			-	B12 binding domain	ko:K22491	-	ko00000,ko03000	-	-	B12-binding,B12-binding_2,MerR_1
NCS66_RS00870	acyl-ACP desaturase	WP_033536551.1					-	Catalyzes the formation of the isocyclic ring in chlorophyll biosynthesis. Mediates the cyclase reaction, which results in the formation of divinylprotochlorophyllide (Pchlide) characteristic of all chlorophylls from magnesium-protoporphyrin IX 13-monomethyl ester (MgPMME)	-	-	-	-	-	-
NCS66_RS00875	D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase	WP_250480229.1	nucleotidyltransferase activity|0016779||IEA	carbohydrate metabolic process|0005975||IEA		rfaE2	-	Catalyzes the ADP transfer from ATP to D-glycero-beta-D- manno-heptose 1-phosphate, yielding ADP-D-glycero-beta-D-manno- heptose	ko:K21345	M00064	ko00000,ko00001,ko00002,ko01000	-	-	CTP_transf_like
NCS66_RS00880	hypothetical protein	WP_008351832.1					-	-	-	-	-	-	-	-
NCS66_RS00895	type II toxin-antitoxin system RelE/ParE family toxin	WP_309779193.1	protein homodimerization activity|0042803||IEA	protein heterotetramerization|0051290||IEA			-	ParE toxin of type II toxin-antitoxin system, parDE	-	-	-	-	-	ParE_toxin
NCS66_RS00900	antitoxin	WP_250433546.1					-	Addiction module antitoxin, RelB DinJ family	-	-	-	-	-	-
NCS66_RS00925	VanZ family protein	WP_250480230.1					-	PFAM VanZ family protein	-	-	-	-	-	VanZ
NCS66_RS00930	ferredoxin	WP_008351817.1					-	Ferredoxin	-	-	-	-	-	2Fe-2S_thioredx
NCS66_RS00935	alpha/beta hydrolase	WP_250480231.1					-	Alpha beta	ko:K07018	-	ko00000	-	-	Hydrolase_4,Peptidase_S15
NCS66_RS00955	DUF493 family protein	WP_250480233.1					-	Belongs to the UPF0250 family	ko:K09158	-	ko00000	-	-	DUF493
NCS66_RS00965	DUF2917 domain-containing protein	WP_250480234.1					-	Protein of unknown function (DUF2917)	-	-	-	-	-	DUF2917
NCS66_RS00985	ATP-binding protein	WP_235366265.1					-	PFAM ATP-binding region, ATPase domain protein	ko:K10125	M00504	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	HATPase_c,HisKA,dCache_1
NCS66_RS00995	TlpA disulfide reductase family protein	WP_008351800.1	oxidoreductase activity|0016491||IEA				-	Redoxin domain protein	-	-	-	-	-	AhpC-TSA,Redoxin
NCS66_RS01000	hypothetical protein	WP_250480237.1					-	-	-	-	-	-	-	-
NCS66_RS01010	accessory factor UbiK family protein	WP_008351796.1					-	Membrane fusogenic activity	ko:K09806	-	ko00000	-	-	BMFP
NCS66_RS01055	S41 family peptidase	WP_008351783.1	serine-type peptidase activity|0008236||IEA	proteolysis|0006508||IEA			-	Belongs to the peptidase S41A family	ko:K03797	-	ko00000,ko01000,ko01002	-	-	PDZ,PDZ_2,Peptidase_S41
NCS66_RS01095	ComF family protein	WP_250480240.1					-	Competence protein	-	-	-	-	-	Pribosyltran
NCS66_RS01100	methyltransferase domain-containing protein	WP_250480241.1	S-adenosylmethionine-dependent methyltransferase activity|0008757||IEA				-	Converts the free carboxyl group of a malonyl-thioester to its methyl ester by transfer of a methyl group from S-adenosyl- L-methionine (SAM). It allows to synthesize pimeloyl-ACP via the fatty acid synthetic pathway	ko:K02169	M00572	ko00000,ko00001,ko00002,ko01000	-	-	Methyltransf_11
NCS66_RS01105	DUF2244 domain-containing protein	WP_008351769.1					-	Integral membrane protein (DUF2244)	-	-	-	-	-	DUF2244
NCS66_RS01120	cytochrome oxidase small assembly protein	WP_008351762.1					-	-	-	-	-	-	-	-
NCS66_RS01130	DUF2970 domain-containing protein	WP_008351758.1					-	Protein of unknown function (DUF2970)	-	-	-	-	-	DUF2970
NCS66_RS01140	twin transmembrane helix small protein	WP_008351753.1					-	Protein of unknown function (DUF2909)	-	-	-	-	-	DUF2909
NCS66_RS01150	cytochrome c oxidase subunit I	WP_008351749.1					-	signal sequence binding	-	-	-	-	-	-
NCS66_RS01160	heme o synthase	WP_008351745.1	protoheme IX farnesyltransferase activity|0008495||IEA	heme biosynthetic process|0006783||IEA	membrane|0016020||IEA	cyoE	-	Converts heme B (protoheme IX) to heme O by substitution of the vinyl group on carbon 2 of heme B porphyrin ring with a hydroxyethyl farnesyl side group	ko:K02257	M00154	ko00000,ko00001,ko00002,ko01000,ko01006,ko03029	-	-	UbiA
NCS66_RS01165	SCO family protein	WP_008351744.1					-	Electron transport protein SCO1 SenC	ko:K07152	-	ko00000,ko03029	-	-	SCO1-SenC
NCS66_RS01170	YciI family protein	WP_034470513.1					-	PFAM YCII-related	-	-	-	-	-	YCII
NCS66_RS01180	GNAT family N-acetyltransferase	WP_008351741.1	acyltransferase activity, transferring groups other than amino-acyl groups|0016747||IEA				-	Regulatory protein MarR	-	-	-	-	-	Acetyltransf_1,Acetyltransf_10,MarR_2
NCS66_RS01190	GntR family transcriptional regulator	WP_008351740.1	DNA-binding transcription factor activity|0003700||IEA				-	regulatory protein GntR HTH	ko:K03710	-	ko00000,ko03000	-	-	GntR,UTRA
NCS66_RS01220	acyloxyacyl hydrolase	WP_034470522.1					GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005975,GO:0005976,GO:0006629,GO:0006643,GO:0006644,GO:0006664,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008653,GO:0009279,GO:0009311,GO:0009987,GO:0016020,GO:0016021,GO:0016787,GO:0016788,GO:0019637,GO:0019867,GO:0030312,GO:0030313,GO:0031224,GO:0031975,GO:0042802,GO:0042803,GO:0043170,GO:0044237,GO:0044238,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044425,GO:0044462,GO:0044464,GO:0046493,GO:0046983,GO:0050528,GO:0052689,GO:0071704,GO:0071944,GO:1901135,GO:1901269,GO:1903509	Has lipid A 3-O-deacylase activity. Hydrolyzes the ester bond at the 3 position of lipid A, a bioactive component of lipopolysaccharide (LPS), thereby releasing the primary fatty acyl moiety	ko:K12976	-	ko00000,ko01000,ko01005	-	-	PagL
NCS66_RS01225	nuclear transport factor 2 family protein	WP_008351729.1					-	Domain of unknown function (DUF4440)	-	-	-	-	-	DUF4440
NCS66_RS01240	fumarylacetoacetate hydrolase family protein	WP_008351720.1	catalytic activity|0003824||IEA				-	fumarylacetoacetate (FAA) hydrolase	ko:K16165	-	ko00000,ko00001,ko01000	-	-	FAA_hydrolase
NCS66_RS01285	50S ribosomal protein L25/general stress protein Ctc	WP_034470532.1	5S rRNA binding|0008097||IEA	translation|0006412||IEA			-	This is one of the proteins that binds to the 5S RNA in the ribosome where it forms part of the central protuberance	ko:K02897	M00178	ko00000,ko00001,ko00002,ko03011	-	-	Ribosomal_L25p,Ribosomal_TL5_C
NCS66_RS01305	lipoprotein insertase outer membrane protein LolB	WP_250480247.1		protein transport|0015031||IEA	cell outer membrane|0009279||IEA	lolB	-	Plays a critical role in the incorporation of lipoproteins in the outer membrane after they are released by the LolA protein	ko:K02494	-	ko00000	-	-	LolB
NCS66_RS01310	tetratricopeptide repeat protein	WP_008351697.1					-	TPR repeat-containing protein	-	-	-	-	-	TPR_16,TPR_19,TPR_8
NCS66_RS01325	LON peptidase substrate-binding domain-containing protein	WP_008351694.1					-	PFAM peptidase S16 lon domain protein	ko:K07157	-	ko00000	-	-	LON_substr_bdg
NCS66_RS01335	HPr(Ser) kinase/phosphatase	WP_008351692.1	ATP binding|0005524||IEA	regulation of carbohydrate metabolic process|0006109||IEA		hprK	-	Catalyzes the ATP- as well as the pyrophosphate- dependent phosphorylation of a specific serine residue in HPr, a phosphocarrier protein of the phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS). HprK P also catalyzes the pyrophosphate-producing, inorganic phosphate-dependent dephosphorylation (phosphorolysis) of seryl-phosphorylated HPr (P- Ser-HPr)	ko:K06023	-	ko00000,ko01000	-	-	Hpr_kinase_C,Hpr_kinase_N
NCS66_RS01390	LysE family translocator	WP_250433608.1					-	Lysine transporter LysE	-	-	-	-	-	LysE
NCS66_RS01395	NUDIX hydrolase family protein	WP_250480250.1					-	Domain of unknown function (DUF4743)	-	-	-	-	-	DUF4743,NUDIX
NCS66_RS01405	membrane protein	WP_008351668.1					-	membrane	-	-	-	-	-	AI-2E_transport
