locus_tag	product	protein_id	go_function	go_process	go_component	gene	GOs	Description	KEGG_ko	KEGG_Module	BRITE	KEGG_TC	CAZy	PFAMs
LDZ24_RS00155	LysR family transcriptional regulator	WP_175938889.1	DNA-binding transcription activator activity|0001216||IEA				-	Transcriptional regulator, LysR family	-	-	-	-	-	HTH_1,LysR_substrate
LDZ24_RS00160	DNA topoisomerase III	WP_248320853.1	DNA topoisomerase activity|0003916||IEA	DNA topological change|0006265||IEA			-	dna topoisomerase III	ko:K03169	-	ko00000,ko01000,ko03032	-	-	SWIB,Topoisom_bac,Toprim,Toprim_Crpt
LDZ24_RS00165	thioredoxin family protein	WP_248320854.1					-	Thioredoxin	-	-	-	-	-	Thioredoxin
LDZ24_RS00170	DNA-processing protein DprA	WP_248320855.1		DNA-mediated transformation|0009294||IEA		dprA	-	DNA protecting protein DprA	ko:K04096	-	ko00000	-	-	DNA_processg_A
LDZ24_RS00190	zinc metalloprotease HtpX	WP_206467320.1	metalloendopeptidase activity|0004222||IEA	proteolysis|0006508||IEA		htpX	-	Belongs to the peptidase M48B family	ko:K03799	M00743	ko00000,ko00002,ko01000,ko01002	-	-	Peptidase_M48
LDZ24_RS00200	DUF4390 domain-containing protein	WP_248320860.1					-	signal peptide protein	-	-	-	-	-	DUF4390
LDZ24_RS00205	PAS domain-containing sensor histidine kinase	WP_305854674.1					-	Histidine kinase	-	-	-	-	-	HAMP,HATPase_c,HisKA,PAS_4,PAS_7,PAS_8
LDZ24_RS00210	response regulator	WP_248320862.1				esaR	-	response regulator	-	-	-	-	-	HTH_8,Response_reg,Sigma54_activ_2
LDZ24_RS00240	tetratricopeptide repeat protein	WP_371747359.1	protein binding|0005515||IEA				-	PFAM Sel1 domain protein repeat-containing protein	ko:K07126	-	ko00000	-	-	Sel1
LDZ24_RS00270	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	WP_244847644.1	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity|0050567||IEA	regulation of translational fidelity|0006450||IEA	glutamyl-tRNA(Gln) amidotransferase complex|0030956||IEA	gatC	-	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln)	ko:K02435	-	ko00000,ko00001,ko01000,ko03029	-	-	Glu-tRNAGln
LDZ24_RS00275	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	WP_248320870.1	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity|0050567||IEA	glutamyl-tRNA aminoacylation|0006424||IEA	glutamyl-tRNA(Gln) amidotransferase complex|0030956||IEA	gatA	-	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln)	ko:K02433	-	ko00000,ko00001,ko01000,ko03029	-	-	Amidase
LDZ24_RS00280	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	WP_248320871.1	carbon-nitrogen ligase activity, with glutamine as amido-N-donor|0016884||IEA			gatB	-	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln)	ko:K02434	-	ko00000,ko00001,ko01000,ko03029	-	-	GatB_N,GatB_Yqey
LDZ24_RS00285	PPK2 family polyphosphate kinase	WP_248320872.1	phosphotransferase activity, phosphate group as acceptor|0016776||IEA	polyphosphate metabolic process|0006797||IEA			-	Polyphosphate kinase 2 (PPK2)	ko:K00937	-	ko00000,ko00001,ko01000,ko03019	-	-	PPK2
LDZ24_RS00290	exodeoxyribonuclease III	WP_248320873.1	nuclease activity|0004518||IEA	DNA repair|0006281||IEA			-	Exodeoxyribonuclease III	ko:K01142	-	ko00000,ko00001,ko01000,ko03400	-	-	Exo_endo_phos
LDZ24_RS00295	M48 family metallopeptidase	WP_248320874.1					-	Peptidase M48	-	-	-	-	-	Peptidase_M48
LDZ24_RS00305	methionine biosynthesis protein MetW	WP_175938937.1		methionine biosynthetic process|0009086||IEA		metW	-	Methionine biosynthesis protein MetW	-	-	-	-	-	MetW
LDZ24_RS00310	homoserine O-acetyltransferase	WP_175938938.1	acyltransferase activity, transferring groups other than amino-acyl groups|0016747||IEA	biosynthetic process|0009058||IEA			-	Transfers a succinyl group from succinyl-CoA to L- homoserine, forming succinyl-L-homoserine	ko:K00641	-	ko00000,ko00001,ko01000	-	-	Abhydrolase_1
LDZ24_RS00315	type II toxin-antitoxin system Phd/YefM family antitoxin	WP_175938940.1			toxin-antitoxin complex|0110001||IEA		-	Antitoxin component of a toxin-antitoxin (TA) module	-	-	-	-	-	PhdYeFM_antitox
LDZ24_RS00320	type II toxin-antitoxin system RelE/ParE family toxin	WP_248320876.1	protein homodimerization activity|0042803||IEA	protein heterotetramerization|0051290||IEA			-	ParE toxin of type II toxin-antitoxin system, parDE	-	-	-	-	-	ParE_toxin
LDZ24_RS00325	pyrimidine 5'-nucleotidase	WP_248320877.1					-	had-superfamily hydrolase subfamily ia, variant 3	ko:K07025	-	ko00000	-	-	HAD_2
LDZ24_RS00335	cysteine-rich CWC family protein	WP_248320879.1					-	Cysteine-rich CWC	-	-	-	-	-	Cys_rich_CWC
LDZ24_RS00340	ATP-binding protein	WP_248320880.1					-	histidine kinase A domain protein	ko:K15011	M00523	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	HATPase_c
LDZ24_RS00345	response regulator transcription factor	WP_159837606.1					-	response regulator	ko:K15012	M00523	ko00000,ko00001,ko00002,ko02022	-	-	HTH_8,Response_reg
LDZ24_RS00350	methyl-accepting chemotaxis protein	WP_248320881.1		signal transduction|0007165||IEA	membrane|0016020||IEA		-	Chemotaxis sensory transducer	ko:K03406,ko:K03776,ko:K05874	-	ko00000,ko00001,ko02035	-	-	4HB_MCP_1,HAMP,MCPsignal,TarH,sCache_2
LDZ24_RS00365	EAL domain-containing protein	WP_248320884.1					-	PFAM EAL domain protein	-	-	-	-	-	EAL
LDZ24_RS00370	indolepyruvate ferredoxin oxidoreductase family protein	WP_248320885.1					-	oxidoreductase	ko:K04090	-	br01601,ko00000,ko01000	-	-	POR,TPP_enzyme_C
LDZ24_RS00380	hypothetical protein	WP_248320887.1					-	-	-	-	-	-	-	-
LDZ24_RS00385	hypothetical protein	WP_159837620.1					-	-	-	-	-	-	-	-
LDZ24_RS00395	AGE family epimerase/isomerase	WP_371747423.1					-	N-acylglucosamine 2-epimerase	-	-	-	-	-	GlcNAc_2-epim
LDZ24_RS00400	LacI family DNA-binding transcriptional regulator	WP_248320890.1	DNA-binding transcription factor activity|0003700||IEA	regulation of DNA-templated transcription|0006355||IEA			-	periplasmic binding protein LacI transcriptional regulator	-	-	-	-	-	LacI,Peripla_BP_3
LDZ24_RS00405	PIG-L deacetylase family protein	WP_248320891.1					-	GlcNAc-PI de-N-acetylase	-	-	-	-	-	PIG-L
LDZ24_RS00415	hypothetical protein	WP_248320894.1					-	-	-	-	-	-	-	-
LDZ24_RS00420	porin	WP_206467342.1					-	PFAM porin Gram-negative type	-	-	-	-	-	Porin_4
LDZ24_RS00425	nitronate monooxygenase family protein	WP_248320895.1	monooxygenase activity|0004497||IEA				-	2-Nitropropane dioxygenase	ko:K00459	-	ko00000,ko00001,ko01000	-	-	NMO
LDZ24_RS00430	alpha/beta fold hydrolase	WP_248320896.1					-	Alpha beta hydrolase	ko:K01561	-	ko00000,ko00001,ko01000	-	-	Abhydrolase_1
LDZ24_RS00435	MBL fold metallo-hydrolase	WP_248320897.1	metal ion binding|0046872||IEA				-	beta-lactamase	-	-	-	-	-	Lactamase_B
LDZ24_RS00440	DUF1289 domain-containing protein	WP_248322373.1					-	PFAM MaoC domain protein dehydratase	-	-	-	-	-	DUF1289,MaoC_dehydrat_N,MaoC_dehydratas
LDZ24_RS00445	YbaK/EbsC family protein	WP_175938982.1					-	prolyl-trna synthetase	-	-	-	-	-	tRNA_edit
LDZ24_RS00460	VOC family protein	WP_206467350.1					-	glyoxalase bleomycin resistance protein dioxygenase	ko:K06991	-	ko00000	-	-	Glyoxalase
LDZ24_RS00465	alpha/beta hydrolase	WP_248322374.1					-	Alpha beta hydrolase	ko:K07002	-	ko00000	-	-	Ser_hydrolase
LDZ24_RS00495	dienelactone hydrolase family protein	WP_248320904.1	hydrolase activity|0016787||IEA		cytosol|0005829||IEA		-	X-Pro dipeptidyl-peptidase (S15 family)	-	-	-	-	-	Peptidase_S15,Peptidase_S9
LDZ24_RS00510	SDR family oxidoreductase	WP_248320908.1	oxidoreductase activity|0016491||IEA				-	short-chain dehydrogenase	-	-	-	-	-	adh_short
LDZ24_RS00530	MerR family DNA-binding transcriptional regulator	WP_248320912.1	DNA-binding transcription factor activity|0003700||IEA				-	Transcriptional regulator	-	-	-	-	-	MerR,MerR-DNA-bind,MerR_1
LDZ24_RS00535	MBL fold metallo-hydrolase	WP_248320914.1					-	PFAM beta-lactamase domain protein	-	-	-	-	-	Lactamase_B
LDZ24_RS00550	flagellar protein FliT	WP_248320916.1					-	Flagellar protein FliT	-	-	-	-	-	FliT
LDZ24_RS00555	flagellar filament capping protein FliD	WP_248320918.1		cell adhesion|0007155||IEA	bacterial-type flagellum|0009288||IEA	fliD	-	Required for morphogenesis and for the elongation of the flagellar filament by facilitating polymerization of the flagellin monomers at the tip of growing filament. Forms a capping structure, which prevents flagellin subunits (transported through the central channel of the flagellum) from leaking out without polymerization at the distal end	ko:K02407	-	ko00000,ko00001,ko02035	-	-	Flagellin_IN,FliD_C,FliD_N
LDZ24_RS00560	flagellin domain-containing protein	WP_175939021.1					GO:0005575,GO:0005576,GO:0005623,GO:0009288,GO:0042995,GO:0043226,GO:0043228,GO:0044464	Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella	ko:K02406	-	ko00000,ko00001,ko02035	-	-	Flagellin_C,Flagellin_N,FliC,FliC_SP
LDZ24_RS00570	aldo/keto reductase	WP_248320921.1					-	aldo keto reductase	ko:K05882	-	ko00000,ko01000	-	-	Aldo_ket_red
LDZ24_RS00580	hypothetical protein	WP_248320923.1					-	-	-	-	-	-	-	-
LDZ24_RS00585	hypothetical protein	WP_248320925.1					-	-	-	-	-	-	-	-
LDZ24_RS00605	hypothetical protein	WP_248320932.1					-	-	-	-	-	-	-	PXPV
LDZ24_RS00615	glycosyltransferase family 4 protein	WP_175939037.1					-	PFAM glycosyl transferase group 1	-	-	-	-	-	Glyco_trans_4_4,Glyco_transf_4,Glycos_transf_1
LDZ24_RS00635	response regulator	WP_175939044.1		phosphorelay signal transduction system|0000160||IEA			-	Pfam Response regulator receiver	ko:K03413	M00506	ko00000,ko00001,ko00002,ko02022,ko02035	-	-	Response_reg
LDZ24_RS00660	chemoreceptor glutamine deamidase CheD	WP_248320943.1				cheD	-	Probably deamidates glutamine residues to glutamate on methyl-accepting chemotaxis receptors (MCPs), playing an important role in chemotaxis	ko:K03411	-	ko00000,ko00001,ko01000,ko02035	-	-	CheD
LDZ24_RS00680	DUF2844 domain-containing protein	WP_248320947.1					-	Protein of unknown function (DUF2844)	-	-	-	-	-	DUF2844
LDZ24_RS00685	DUF3443 domain-containing protein	WP_248320949.1					-	Protein of unknown function (DUF3443)	-	-	-	-	-	DUF3443
LDZ24_RS00690	SDR family oxidoreductase	WP_248320951.1	oxidoreductase activity|0016491||IEA				-	Belongs to the short-chain dehydrogenases reductases (SDR) family	-	-	-	-	-	adh_short
LDZ24_RS00695	thiol:disulfide interchange protein DsbA/DsbL	WP_248320952.1	protein-disulfide reductase activity|0015035||IEA				-	Thiol disulfide interchange protein	ko:K03673	M00728	ko00000,ko00001,ko00002,ko03110	-	-	DSBA,Thioredoxin
LDZ24_RS00700	SPOR domain-containing protein	WP_206467385.1					-	cell division protein	-	-	-	-	-	SPOR
LDZ24_RS00705	arginine--tRNA ligase	WP_248320953.1	ATP binding|0005524||IEA	arginyl-tRNA aminoacylation|0006420||IEA	cytoplasm|0005737||IEA	argS	-	Arginyl-tRNA synthetase	ko:K01887	M00359,M00360	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016,ko03029	-	-	Arg_tRNA_synt_N,DALR_1,tRNA-synt_1d
LDZ24_RS00710	DUF1840 domain-containing protein	WP_248320954.1					-	Domain of unknown function (DUF1840)	-	-	-	-	-	DUF1840
LDZ24_RS00715	hypothetical protein	WP_175939072.1					-	-	-	-	-	-	-	-
LDZ24_RS00730	DUF3567 domain-containing protein	WP_248320957.1					-	Protein of unknown function (DUF3567)	-	-	-	-	-	DUF3567
LDZ24_RS00740	DUF3108 domain-containing protein	WP_248320959.1					-	Protein of unknown function (DUF3108)	-	-	-	-	-	DUF3108
LDZ24_RS00745	IclR family transcriptional regulator	WP_248320960.1	DNA-binding transcription factor activity|0003700||IEA	regulation of DNA-templated transcription|0006355||IEA			-	Transcriptional regulator	-	-	-	-	-	HTH_IclR,IclR
LDZ24_RS00765	PhaM family polyhydroxyalkanoate granule multifunctional regulatory protein	WP_248320964.1					-	-	-	-	-	-	-	-
LDZ24_RS00770	MerR family transcriptional regulator	WP_248320965.1	DNA binding|0003677||IEA	regulation of DNA-templated transcription|0006355||IEA			-	B12 binding domain	ko:K22491	-	ko00000,ko03000	-	-	B12-binding,B12-binding_2,MerR_1
LDZ24_RS00775	ferritin-like domain-containing protein	WP_175939095.1					-	Catalyzes the formation of the isocyclic ring in chlorophyll biosynthesis. Mediates the cyclase reaction, which results in the formation of divinylprotochlorophyllide (Pchlide) characteristic of all chlorophylls from magnesium-protoporphyrin IX 13-monomethyl ester (MgPMME)	-	-	-	-	-	-
LDZ24_RS00780	D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase	WP_175939096.1	nucleotidyltransferase activity|0016779||IEA	carbohydrate metabolic process|0005975||IEA		rfaE2	-	Catalyzes the ADP transfer from ATP to D-glycero-beta-D- manno-heptose 1-phosphate, yielding ADP-D-glycero-beta-D-manno- heptose	ko:K21345	M00064	ko00000,ko00001,ko00002,ko01000	-	-	CTP_transf_like
LDZ24_RS00785	hypothetical protein	WP_248320966.1					-	-	-	-	-	-	-	-
LDZ24_RS00820	VanZ family protein	WP_248320973.1					-	PFAM VanZ family protein	-	-	-	-	-	VanZ
LDZ24_RS00825	ferredoxin	WP_244847737.1					-	Ferredoxin	-	-	-	-	-	2Fe-2S_thioredx
LDZ24_RS00830	alpha/beta hydrolase	WP_248320975.1					-	Alpha beta	ko:K07018	-	ko00000	-	-	Hydrolase_4,Peptidase_S15
LDZ24_RS00845	DUF493 family protein	WP_248320979.1					-	Belongs to the UPF0250 family	ko:K09158	-	ko00000	-	-	DUF493
LDZ24_RS00855	DUF2917 domain-containing protein	WP_248320981.1					-	Protein of unknown function (DUF2917)	-	-	-	-	-	DUF2917
LDZ24_RS00875	ATP-binding protein	WP_371747364.1					-	PFAM ATP-binding region, ATPase domain protein	ko:K10125	M00504	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	HATPase_c,HisKA,dCache_1
LDZ24_RS00885	TlpA disulfide reductase family protein	WP_248320993.1					-	Redoxin domain protein	-	-	-	-	-	AhpC-TSA,Redoxin
LDZ24_RS00890	hypothetical protein	WP_371747400.1					-	-	-	-	-	-	-	-
LDZ24_RS00900	accessory factor UbiK family protein	WP_175939211.1					-	Membrane fusogenic activity	ko:K09806	-	ko00000	-	-	BMFP
LDZ24_RS00950	S41 family peptidase	WP_248321007.1					-	Belongs to the peptidase S41A family	ko:K03797	-	ko00000,ko01000,ko01002	-	-	PDZ,PDZ_2,Peptidase_S41
LDZ24_RS00990	ComF family protein	WP_248321020.1					-	Competence protein	-	-	-	-	-	Pribosyltran
LDZ24_RS00995	methyltransferase domain-containing protein	WP_248322238.1	S-adenosylmethionine-dependent methyltransferase activity|0008757||IEA				-	Converts the free carboxyl group of a malonyl-thioester to its methyl ester by transfer of a methyl group from S-adenosyl- L-methionine (SAM). It allows to synthesize pimeloyl-ACP via the fatty acid synthetic pathway	ko:K02169	M00572	ko00000,ko00001,ko00002,ko01000	-	-	Methyltransf_11
LDZ24_RS01000	DUF2244 domain-containing protein	WP_248321022.1					-	Integral membrane protein (DUF2244)	-	-	-	-	-	DUF2244
LDZ24_RS01015	cytochrome oxidase small assembly protein	WP_244847767.1					-	-	-	-	-	-	-	-
LDZ24_RS01025	DUF2970 domain-containing protein	WP_248321025.1					-	Protein of unknown function (DUF2970)	-	-	-	-	-	DUF2970
LDZ24_RS01035	twin transmembrane helix small protein	WP_035961831.1					-	Protein of unknown function (DUF2909)	-	-	-	-	-	DUF2909
LDZ24_RS01045	cytochrome C oxidase subunit I	WP_248321028.1					-	signal sequence binding	-	-	-	-	-	-
LDZ24_RS01055	heme o synthase	WP_248321032.1	protoheme IX farnesyltransferase activity|0008495||IEA	heme biosynthetic process|0006783||IEA	membrane|0016020||IEA	cyoE	-	Converts heme B (protoheme IX) to heme O by substitution of the vinyl group on carbon 2 of heme B porphyrin ring with a hydroxyethyl farnesyl side group	ko:K02257	M00154	ko00000,ko00001,ko00002,ko01000,ko01006,ko03029	-	-	UbiA
LDZ24_RS01060	SCO family protein	WP_248321034.1					-	Electron transport protein SCO1 SenC	ko:K07152	-	ko00000,ko03029	-	-	SCO1-SenC
LDZ24_RS01065	YciI family protein	WP_248321036.1					-	PFAM YCII-related	-	-	-	-	-	YCII
LDZ24_RS01075	bifunctional helix-turn-helix transcriptional regulator/GNAT family N-acetyltransferase	WP_248322240.1	acyltransferase activity, transferring groups other than amino-acyl groups|0016747||IEA				-	Regulatory protein MarR	-	-	-	-	-	Acetyltransf_1,Acetyltransf_10,MarR_2
LDZ24_RS01080	GntR family transcriptional regulator	WP_248321040.1	DNA-binding transcription factor activity|0003700||IEA				-	regulatory protein GntR HTH	ko:K03710	-	ko00000,ko03000	-	-	GntR,UTRA
LDZ24_RS01110	acyloxyacyl hydrolase	WP_248321045.1					GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005975,GO:0005976,GO:0006629,GO:0006643,GO:0006644,GO:0006664,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008653,GO:0009279,GO:0009311,GO:0009987,GO:0016020,GO:0016021,GO:0016787,GO:0016788,GO:0019637,GO:0019867,GO:0030312,GO:0030313,GO:0031224,GO:0031975,GO:0042802,GO:0042803,GO:0043170,GO:0044237,GO:0044238,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044425,GO:0044462,GO:0044464,GO:0046493,GO:0046983,GO:0050528,GO:0052689,GO:0071704,GO:0071944,GO:1901135,GO:1901269,GO:1903509	Has lipid A 3-O-deacylase activity. Hydrolyzes the ester bond at the 3 position of lipid A, a bioactive component of lipopolysaccharide (LPS), thereby releasing the primary fatty acyl moiety	ko:K12976	-	ko00000,ko01000,ko01005	-	-	PagL
LDZ24_RS01115	nuclear transport factor 2 family protein	WP_175939282.1					-	Domain of unknown function (DUF4440)	-	-	-	-	-	DUF4440
LDZ24_RS01145	TetR/AcrR family transcriptional regulator	WP_248321050.1	DNA-binding transcription factor activity|0003700||IEA	regulation of DNA-templated transcription|0006355||IEA			-	Bacterial regulatory proteins, tetR family	-	-	-	-	-	TetR_C_11,TetR_N
LDZ24_RS01150	HlyD family secretion protein	WP_248321052.1	transmembrane transporter activity|0022857||IEA	transmembrane transport|0055085||IEA	membrane|0016020||IEA		-	Secretion protein	ko:K01993	-	ko00000	-	-	Biotin_lipoyl_2,HlyD_3
LDZ24_RS01165	efflux transporter outer membrane subunit	WP_248321058.1	porin activity|0015288||IEA	transport|0006810||IEA	cell outer membrane|0009279||IEA		-	TIGRFAM RND efflux system, outer membrane lipoprotein, NodT family	-	-	-	-	-	OEP
LDZ24_RS01185	winged helix-turn-helix domain-containing protein	WP_175939301.1					-	Transcriptional regulator	-	-	-	-	-	-
LDZ24_RS01190	hypothetical protein	WP_248321064.1					-	-	-	-	-	-	-	MASE1
LDZ24_RS01215	50S ribosomal protein L25/general stress protein Ctc	WP_206467439.1	5S rRNA binding|0008097||IEA	translation|0006412||IEA			-	This is one of the proteins that binds to the 5S RNA in the ribosome where it forms part of the central protuberance	ko:K02897	M00178	ko00000,ko00001,ko00002,ko03011	-	-	Ribosomal_L25p,Ribosomal_TL5_C
LDZ24_RS01235	lipoprotein insertase outer membrane protein LolB	WP_248321070.1		protein transport|0015031||IEA	cell outer membrane|0009279||IEA	lolB	-	Plays a critical role in the incorporation of lipoproteins in the outer membrane after they are released by the LolA protein	ko:K02494	-	ko00000	-	-	LolB
LDZ24_RS01240	tetratricopeptide repeat protein	WP_248321072.1					-	TPR repeat-containing protein	-	-	-	-	-	TPR_16,TPR_19,TPR_8
LDZ24_RS01255	LON peptidase substrate-binding domain-containing protein	WP_248321076.1					-	PFAM peptidase S16 lon domain protein	ko:K07157	-	ko00000	-	-	LON_substr_bdg
LDZ24_RS01265	HPr(Ser) kinase/phosphatase	WP_008351692.1	ATP binding|0005524||IEA	regulation of carbohydrate metabolic process|0006109||IEA		hprK	-	Catalyzes the ATP- as well as the pyrophosphate- dependent phosphorylation of a specific serine residue in HPr, a phosphocarrier protein of the phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS). HprK P also catalyzes the pyrophosphate-producing, inorganic phosphate-dependent dephosphorylation (phosphorolysis) of seryl-phosphorylated HPr (P- Ser-HPr)	ko:K06023	-	ko00000,ko01000	-	-	Hpr_kinase_C,Hpr_kinase_N
LDZ24_RS01320	LysE family translocator	WP_248321086.1					-	Lysine transporter LysE	-	-	-	-	-	LysE
LDZ24_RS01325	NUDIX hydrolase family protein	WP_248321088.1					-	Domain of unknown function (DUF4743)	-	-	-	-	-	DUF4743,NUDIX
LDZ24_RS01335	AI-2E family transporter	WP_248321090.1	efflux transmembrane transporter activity|0015562||IEA	autoinducer AI-2 transmembrane transport|1905887||IEA			-	membrane	-	-	-	-	-	AI-2E_transport
LDZ24_RS01350	single-stranded DNA-binding protein	WP_248321095.1					GO:0000725,GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006281,GO:0006298,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0007154,GO:0008047,GO:0008150,GO:0008152,GO:0009432,GO:0009605,GO:0009987,GO:0009991,GO:0030234,GO:0031668,GO:0033554,GO:0034641,GO:0042802,GO:0043085,GO:0043170,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050790,GO:0050896,GO:0051716,GO:0065007,GO:0065009,GO:0071496,GO:0071704,GO:0090304,GO:0097159,GO:0098772,GO:1901360,GO:1901363	Plays an important role in DNA replication, recombination and repair. Binds to ssDNA and to an array of partner proteins to recruit them to their sites of action during DNA metabolism	ko:K03111	-	ko00000,ko00001,ko03029,ko03032,ko03400	-	-	SSB
LDZ24_RS01360	response regulator transcription factor	WP_248321099.1		phosphorelay signal transduction system|0000160||IEA			-	Response regulator receiver	ko:K07687	M00474	ko00000,ko00001,ko00002,ko02022	-	-	GerE,Response_reg
LDZ24_RS01365	response regulator transcription factor	WP_248321100.1		phosphorelay signal transduction system|0000160||IEA			-	PFAM regulatory protein LuxR	ko:K07687	M00474	ko00000,ko00001,ko00002,ko02022	-	-	GerE,Response_reg
LDZ24_RS01375	LysR family transcriptional regulator	WP_371747367.1	DNA-binding transcription activator activity|0001216||IEA				-	Transcriptional regulator	-	-	-	-	-	HTH_1,LysR_substrate
LDZ24_RS01380	porin	WP_248321101.1	porin activity|0015288||IEA		cell outer membrane|0009279||IEA		-	PFAM porin Gram-negative type	-	-	-	-	-	Porin_4
LDZ24_RS01385	CHRD domain-containing protein	WP_248321102.1					-	PFAM CHRD domain containing protein	-	-	-	-	-	CHRD
LDZ24_RS01390	alpha/beta hydrolase	WP_248321103.1	hydrolase activity|0016787||IEA				-	Alpha beta hydrolase	ko:K14731	-	ko00000,ko00001,ko01000	-	-	Abhydrolase_3
LDZ24_RS01395	EcsC family protein	WP_248321105.1					-	EcsC protein family	-	-	-	-	-	EcsC
LDZ24_RS01400	MFS transporter	WP_248321107.1	transmembrane transporter activity|0022857||IEA	transmembrane transport|0055085||IEA			-	Major facilitator superfamily	-	-	-	-	-	MFS_1
