locus_tag	product	protein_id	go_function	go_process	go_component	gene	GOs	Description	KEGG_ko	KEGG_Module	BRITE	KEGG_TC	CAZy	PFAMs
LDZ24_RS01570	MFS transporter	WP_248321157.1	transmembrane transporter activity|0022857||IEA	transmembrane transport|0055085||IEA			-	PFAM major facilitator superfamily MFS_1	ko:K02575	M00615	ko00000,ko00001,ko00002,ko02000	2.A.1.8	-	MFS_1
LDZ24_RS02075	MFS transporter	WP_248322249.1	transmembrane transporter activity|0022857||IEA	transmembrane transport|0055085||IEA			-	Major facilitator superfamily MFS_1	ko:K03762	-	ko00000,ko02000	2.A.1.6.4	-	Sugar_tr
LDZ24_RS02110	CopD family protein	WP_248321274.1			membrane|0016020||IEA		-	PFAM copper resistance D domain protein	ko:K07245	-	ko00000,ko02000	9.B.62.1	-	CopD
LDZ24_RS02250	pilin	WP_256465379.1		cell adhesion|0007155||IEA	pilus|0009289||IEA		-	general secretion pathway protein	ko:K02650	-	ko00000,ko00001,ko02035,ko02044	3.A.15.2	-	N_methyl,Pilin
LDZ24_RS02350	hypothetical protein	WP_248321323.1					-	Hep_Hag repeat-containing protein	ko:K21449	-	ko00000,ko02000	1.B.40.2	-	ESPR,YadA_anchor,YadA_head,YadA_stalk
LDZ24_RS02470	metal ABC transporter permease	WP_248321360.1		transmembrane transport|0055085||IEA	ATP-binding cassette (ABC) transporter complex|0043190||IEA		-	abc transporter, permease	ko:K02075,ko:K09816,ko:K09819	M00242,M00243,M00244	ko00000,ko00001,ko00002,ko02000	3.A.1.15,3.A.1.15.3,3.A.1.15.5	-	ABC-3
LDZ24_RS02475	ATP-binding cassette domain-containing protein	WP_371747378.1	ATP binding|0005524||IEA				-	abc transporter	ko:K02074	M00244	ko00000,ko00002,ko02000	3.A.1.15	-	ABC_tran
LDZ24_RS02480	metal ABC transporter solute-binding protein	WP_248321363.1					-	Belongs to the bacterial solute-binding protein 9 family	ko:K02077	M00244	ko00000,ko00002,ko02000	3.A.1.15	-	ZnuA
LDZ24_RS02505	sugar ABC transporter substrate-binding protein	WP_248321373.1	ABC-type transporter activity|0140359||IEA		ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing|0055052||IEA		-	PFAM extracellular solute-binding protein family 1	ko:K02027,ko:K10227	M00200,M00207	ko00000,ko00001,ko00002,ko02000	3.A.1.1,3.A.1.1.5	-	SBP_bac_1,SBP_bac_8
LDZ24_RS02510	carbohydrate ABC transporter permease	WP_206467656.1	ABC-type transporter activity|0140359||IEA	transmembrane transport|0055085||IEA			-	PFAM binding-protein-dependent transport systems inner membrane component	ko:K10228	M00200	ko00000,ko00001,ko00002,ko02000	3.A.1.1.5	-	BPD_transp_1
LDZ24_RS02635	aspartate-alanine antiporter	WP_248321407.1	aspartate:alanine antiporter activity|0070906||IEA		membrane|0016020||IEA	aspT	-	Predicted Permease Membrane Region	ko:K07085	-	ko00000	2.A.81	-	Asp-Al_Ex,TrkA_C
LDZ24_RS02665	ABC transporter substrate-binding protein	WP_248321415.1					-	PFAM extracellular solute-binding protein, family 5	ko:K02035	M00239	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	SBP_bac_5
LDZ24_RS02805	branched-chain amino acid ABC transporter substrate-binding protein	WP_248321447.1	ABC-type transporter activity|0140359||IEA	transmembrane transport|0055085||IEA			-	amino acid	ko:K01999	M00237	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	Peripla_BP_6
LDZ24_RS02875	ABC transporter substrate-binding protein	WP_248321466.1					-	amino acid	ko:K01999	M00237	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	Peripla_BP_6
LDZ24_RS02920	LPS export ABC transporter permease LptG	WP_248321475.1	lipopolysaccharide transmembrane transporter activity|0015221||IEA	transmembrane transport|0055085||IEA	ATP-binding cassette (ABC) transporter complex|0043190||IEA	lptG	-	Permease, YjgP YjgQ family	ko:K11720	M00320	ko00000,ko00001,ko00002,ko02000	1.B.42.1	-	YjgP_YjgQ
LDZ24_RS02925	LPS export ABC transporter permease LptF	WP_248321477.1	lipopolysaccharide transmembrane transporter activity|0015221||IEA	transmembrane transport|0055085||IEA	ATP-binding cassette (ABC) transporter complex|0043190||IEA	lptF	-	Permease, YjgP YjgQ family	ko:K07091	M00320	ko00000,ko00001,ko00002,ko02000	1.B.42.1	-	YjgP_YjgQ
LDZ24_RS02985	TonB-dependent receptor domain-containing protein	WP_248321489.1					-	receptor	ko:K02014,ko:K16092	-	ko00000,ko02000	1.B.14,1.B.14.3	-	Plug,TonB_dep_Rec
LDZ24_RS03070	autotransporter assembly complex family protein	WP_371747405.1			cell outer membrane|0009279||IEA		-	PFAM surface antigen (D15)	ko:K07278	-	ko00000,ko02000	1.B.33.2.4	-	Bac_surface_Ag,POTRA,POTRA_TamA_1
LDZ24_RS03160	OmpA family protein	WP_248321544.1	peptidoglycan binding|0042834||IEA				-	Belongs to the ompA family	ko:K03286	-	ko00000,ko02000	1.B.6	-	Gly-zipper_Omp,Gly-zipper_YMGG,OmpA
LDZ24_RS03265	DNA translocase FtsK	WP_248321566.1					-	PFAM cell divisionFtsK SpoIIIE	ko:K03466	-	ko00000,ko03036	3.A.12	-	FtsK_4TM,FtsK_SpoIIIE,Ftsk_gamma
LDZ24_RS03280	putative hydroxymethylpyrimidine transporter CytX	WP_248321571.1	transmembrane transporter activity|0022857||IEA	transmembrane transport|0055085||IEA	membrane|0016020||IEA	cytX	-	Belongs to the purine-cytosine permease (2.A.39) family	ko:K03457	-	ko00000	2.A.39	-	Transp_cyt_pur
LDZ24_RS03350	TonB family protein	WP_248321586.1	secondary active transmembrane transporter activity|0015291||IEA	transport|0006810||IEA			-	TonB family	ko:K03832	-	ko00000,ko02000	2.C.1.1	-	TonB_2
LDZ24_RS03480	porin	WP_248321618.1	porin activity|0015288||IEA		cell outer membrane|0009279||IEA		-	PFAM porin Gram-negative type	ko:K03285	-	ko00000	1.B.1	-	Porin_4
LDZ24_RS03595	disulfide bond formation protein B	WP_248322263.1					-	Required for disulfide bond formation in some periplasmic proteins. Acts by oxidizing the DsbA protein	ko:K03611	-	ko00000,ko03110	5.A.2.1	-	DsbB
LDZ24_RS03650	LysE family translocator	WP_248321648.1					-	LysE type translocator	ko:K06895	-	ko00000,ko02000	2.A.75.1	-	LysE
LDZ24_RS03735	carbohydrate ABC transporter permease	WP_248321662.1		transmembrane transport|0055085||IEA			-	PFAM binding-protein-dependent transport systems inner membrane component	ko:K17317	M00605	ko00000,ko00001,ko00002,ko02000	3.A.1.1.24,3.A.1.1.30	-	BPD_transp_1
LDZ24_RS03740	carbohydrate ABC transporter permease	WP_248321663.1	ABC-type transporter activity|0140359||IEA	transmembrane transport|0055085||IEA			-	PFAM binding-protein-dependent transport systems inner membrane component	ko:K17316	M00605	ko00000,ko00001,ko00002,ko02000	3.A.1.1.24,3.A.1.1.30	-	BPD_transp_1
LDZ24_RS03745	ABC transporter substrate-binding protein	WP_248321664.1	ABC-type transporter activity|0140359||IEA		ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing|0055052||IEA		-	PFAM extracellular solute-binding protein family 1	ko:K17315	M00605	ko00000,ko00001,ko00002,ko02000	3.A.1.1.24,3.A.1.1.30	-	SBP_bac_1
LDZ24_RS03825	ABC transporter permease subunit	WP_248321674.1					-	PFAM binding-protein-dependent transport systems inner membrane component	ko:K02050	M00188	ko00000,ko00002,ko02000	3.A.1.16,3.A.1.17	-	BPD_transp_1
LDZ24_RS03830	AAA-associated domain-containing protein	WP_248321675.1					-	abc transporter	ko:K02049	M00188	ko00000,ko00002,ko02000	3.A.1.16,3.A.1.17	-	AAA_assoc_C,ABC_tran
LDZ24_RS04090	Rhs element Vgr protein	WP_248321718.1					-	Uncharacterized protein conserved in bacteria (DUF2345)	ko:K11904	M00334	ko00000,ko00001,ko00002,ko02044	3.A.23.1	-	DUF2345,PAAR_motif,T6SS_Vgr
LDZ24_RS04125	monocarboxylate uptake permease MctP	WP_248322268.1	symporter activity|0015293||IEA	pyruvate transport|0006848||IEA		mctP	-	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family	ko:K03307	-	ko00000	2.A.21	-	SSF
LDZ24_RS04235	transporter	WP_248321744.1					-	CorA-like Mg2+ transporter protein	ko:K16074	-	ko00000,ko02000	1.A.35.4	-	CorA
LDZ24_RS04290	glycosyltransferase family 2 protein	WP_248321757.1	glycosyltransferase activity|0016757||IEA				-	glycosyl transferase family 2	ko:K12984	-	ko00000,ko01000,ko01003,ko01005,ko02000	4.D.1.3	GT2	Glycos_transf_2
LDZ24_RS04300	O-antigen ligase	WP_248321760.1	O antigen ligase activity|0008754||IEA		membrane|0016020||IEA		-	O-antigen	ko:K02847	M00080	ko00000,ko00001,ko00002,ko01000,ko01005,ko02000	9.B.67.4,9.B.67.5	-	Wzy_C
LDZ24_RS04415	mechanosensitive ion channel family protein	WP_248321788.1	mechanosensitive monoatomic ion channel activity|0008381||IEA				-	mechanosensitive ion channel	ko:K22044	-	ko00000,ko02000	1.A.23.3	-	MS_channel
LDZ24_RS04755	iron transporter	WP_371747391.1					-	ferrous iron transport protein	ko:K07230	-	ko00000,ko02000	2.A.108.2.10,2.A.108.2.4,2.A.108.2.9	-	Iron_transport
LDZ24_RS04765	FTR1 family protein	WP_248321871.1	iron ion transmembrane transporter activity|0005381||IEA	iron ion transmembrane transport|0034755||IEA	high-affinity iron permease complex|0033573||IEA		-	Iron permease	ko:K07243	-	ko00000,ko02000	2.A.108.1,2.A.108.2	-	FTR1
LDZ24_RS04810	MotA/TolQ/ExbB proton channel family protein	WP_248321881.1		protein transport|0015031||IEA	plasma membrane|0005886||IEA		-	MotA TolQ ExbB proton channel	ko:K03561	-	ko00000,ko02000	1.A.30.2.1	-	MotA_ExbB
LDZ24_RS04815	energy transducer TonB	WP_248321883.1	energy transducer activity|0031992||IEA		membrane|0016020||IEA		-	Interacts with outer membrane receptor proteins that carry out high-affinity binding and energy dependent uptake into the periplasmic space of specific substrates. It could act to transduce energy from the cytoplasmic membrane to specific energy- requiring processes in the outer membrane, resulting in the release into the periplasm of ligands bound by these outer membrane proteins	ko:K03832	-	ko00000,ko02000	2.C.1.1	-	TonB_C
LDZ24_RS04860	sodium:solute symporter family protein	WP_248321895.1	transmembrane transporter activity|0022857||IEA	transmembrane transport|0055085||IEA	membrane|0016020||IEA		-	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family	ko:K14393	-	ko00000,ko02000	2.A.21.7	-	SSF
LDZ24_RS04930	porin	WP_248321915.1	porin activity|0015288||IEA		cell outer membrane|0009279||IEA		-	Gram-negative porin	ko:K03285	-	ko00000	1.B.1	-	Porin_4
LDZ24_RS05670	outer membrane protein assembly factor BamC	WP_248322068.1				bamC	-	(Lipo)protein	ko:K07287	-	ko00000,ko02000	1.B.33.1	-	Lipoprotein_18
LDZ24_RS06030	ABC transporter substrate-binding protein	WP_248322118.1					-	PFAM extracellular solute-binding protein, family 5	ko:K02035	M00239	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	SBP_bac_5
LDZ24_RS06075	NCS1 family nucleobase:cation symporter-1	WP_248322125.1					-	PFAM permease for cytosine purines, uracil, thiamine, allantoin	ko:K03457	-	ko00000	2.A.39	-	Transp_cyt_pur
LDZ24_RS06135	ABC transporter permease	WP_248322132.1	ABC-type transporter activity|0140359||IEA				-	Belongs to the binding-protein-dependent transport system permease family	ko:K02057	M00221	ko00000,ko00002,ko02000	3.A.1.2	-	BPD_transp_2
LDZ24_RS06140	ABC transporter permease	WP_248322133.1			plasma membrane|0005886||IEA		-	Belongs to the binding-protein-dependent transport system permease family	ko:K02057	M00221	ko00000,ko00002,ko02000	3.A.1.2	-	BPD_transp_2
LDZ24_RS06145	BMP family ABC transporter substrate-binding protein	WP_248322134.1					-	PFAM basic membrane lipoprotein	ko:K02058	M00221	ko00000,ko00002,ko02000	3.A.1.2	-	Bmp
LDZ24_RS06320	ABC transporter permease	WP_256465388.1	ABC-type transporter activity|0140359||IEA		membrane|0016020||IEA		-	Transport permease protein	ko:K09694	M00252	ko00000,ko00001,ko00002,ko02000	3.A.1.102	-	ABC2_membrane
LDZ24_RS06430	inorganic phosphate transporter	WP_175940243.1					-	Phosphate transporter	ko:K03306	-	ko00000	2.A.20	-	PHO4
LDZ24_RS06565	type VI secretion system baseplate subunit TssF	WP_248322187.1		protein secretion by the type VI secretion system|0033103||IEA		tssF	-	type VI secretion protein	ko:K11896	M00334	ko00000,ko00002,ko02044	3.A.23.1	-	T6SS_TssF,T6SS_TssG
LDZ24_RS06570	type VI secretion system tip protein TssI/VgrG	WP_248322188.1		protein secretion by the type VI secretion system|0033103||IEA		tssI	-	Rhs element Vgr	ko:K11904	M00334	ko00000,ko00001,ko00002,ko02044	3.A.23.1	-	DUF2345,Phage_GPD,T6SS_Vgr
LDZ24_RS06655	TonB-dependent receptor	WP_248322199.1			membrane|0016020||IEA		-	TonB-dependent receptor	ko:K02014	-	ko00000,ko02000	1.B.14	-	Plug,TonB_dep_Rec
LDZ24_RS06895	sugar ABC transporter substrate-binding protein	WP_248322226.1					-	PFAM periplasmic binding protein LacI transcriptional regulator	ko:K10439	M00212	ko00000,ko00001,ko00002,ko02000	3.A.1.2.1,3.A.1.2.13,3.A.1.2.19	-	Peripla_BP_4
LDZ24_RS07115	NCS1 family nucleobase:cation symporter-1	WP_248319872.1					-	Permease for cytosine/purines, uracil, thiamine, allantoin	ko:K03457	-	ko00000	2.A.39	-	Transp_cyt_pur
LDZ24_RS07330	glutathione S-transferase	WP_248319909.1	glutathione binding|0043295||IEA	glutathione metabolic process|0006749||IEA			-	Glutathione S-transferase	ko:K00799	-	ko00000,ko00001,ko01000,ko02000	1.A.12.2.2,1.A.12.3.2	-	GST_C_3
LDZ24_RS07355	AsmA family protein	WP_248319913.1					-	PFAM AsmA family protein	ko:K07289,ko:K07290	-	ko00000	9.B.121	-	AsmA
LDZ24_RS07365	iron export ABC transporter permease subunit FetB	WP_248319915.1				fetB	-	Uncharacterised protein family (UPF0014)	ko:K02069	M00211	ko00000,ko00002,ko02000	9.B.25.1	-	UPF0014
LDZ24_RS07575	outer membrane protein assembly factor BamB	WP_248322301.1	protein binding|0005515||IEA		cell outer membrane|0009279||IEA	bamB	-	Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane	ko:K17713	-	ko00000,ko02000	1.B.33.1	-	PQQ_2,PQQ_3
LDZ24_RS07630	peptidoglycan DD-metalloendopeptidase family protein	WP_248319949.1					-	peptidase	ko:K06194	-	ko00000	1.A.34.1.2	-	LysM,Peptidase_M23
LDZ24_RS07650	ABC transporter permease	WP_248319952.1	transmembrane transporter activity|0022857||IEA				-	binding-protein-dependent transport systems inner membrane component	ko:K02050	M00188	ko00000,ko00002,ko02000	3.A.1.16,3.A.1.17	-	BPD_transp_1
LDZ24_RS07660	ABC transporter substrate-binding protein	WP_248319954.1					-	PFAM NMT1 THI5 like domain protein	ko:K02051	M00188	ko00000,ko00002,ko02000	3.A.1.16,3.A.1.17	-	NMT1_2
LDZ24_RS07720	MATE family efflux transporter	WP_248322303.1	xenobiotic transmembrane transporter activity|0042910||IEA	xenobiotic transmembrane transport|0006855||IEA	membrane|0016020||IEA		-	MATE efflux family protein	ko:K03327	-	ko00000,ko02000	2.A.66.1	-	MatE
LDZ24_RS07730	helix-hairpin-helix domain-containing protein	WP_248319961.1					-	Helix-hairpin-helix motif	ko:K02237	M00429	ko00000,ko00002,ko02044	3.A.11.1,3.A.11.2	-	HHH_3
LDZ24_RS07875	MFS transporter	WP_248319978.1	transmembrane transporter activity|0022857||IEA	transmembrane transport|0055085||IEA			-	Major facilitator superfamily MFS_1	ko:K08178	-	ko00000,ko02000	2.A.1.12	-	MFS_1,Sugar_tr
LDZ24_RS08310	NADH-quinone oxidoreductase subunit NuoN	WP_248320043.1	NADH dehydrogenase (ubiquinone) activity|0008137||IEA	ATP synthesis coupled electron transport|0042773||IEA		nuoN	-	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	ko:K00343	M00144	ko00000,ko00001,ko00002,ko01000	3.D.1	-	Proton_antipo_M
LDZ24_RS08330	NADH-quinone oxidoreductase subunit J	WP_175944098.1	NADH dehydrogenase (ubiquinone) activity|0008137||IEA				-	Belongs to the complex I subunit 6 family	ko:K00339	M00144	ko00000,ko00001,ko00002,ko01000	3.D.1	-	Oxidored_q3
LDZ24_RS08345	NADH-quinone oxidoreductase subunit NuoG	WP_248320046.1	iron-sulfur cluster binding|0051536||IEA	mitochondrial electron transport, NADH to ubiquinone|0006120||IEA		nuoG	-	NADH-quinone oxidoreductase	ko:K00336	M00144	ko00000,ko00001,ko00002,ko01000	3.D.1	-	Fer2_4,Molybdopterin,Molydop_binding,NADH-G_4Fe-4S_3
LDZ24_RS08355	NADH-quinone oxidoreductase subunit NuoE	WP_206466578.1	oxidoreductase activity|0016491||IEA			nuoE	-	PFAM NADH dehydrogenase (ubiquinone) 24 kDa subunit	ko:K00334	M00144	ko00000,ko00001,ko00002,ko01000	3.D.1	-	2Fe-2S_thioredx
LDZ24_RS08360	NADH-quinone oxidoreductase subunit D	WP_175944108.1	NAD binding|0051287||IEA				-	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	ko:K00333	M00144	ko00000,ko00001,ko00002,ko01000	3.D.1	-	Complex1_49kDa
LDZ24_RS08365	NADH-quinone oxidoreductase subunit C	WP_248320048.1	NADH dehydrogenase (ubiquinone) activity|0008137||IEA				-	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	ko:K00332	M00144	ko00000,ko00001,ko00002,ko01000	3.D.1	-	Complex1_30kDa
LDZ24_RS08370	NADH-quinone oxidoreductase subunit B family protein	WP_006052903.1	4 iron, 4 sulfur cluster binding|0051539||IEA		respiratory chain complex I|0045271||IEA		-	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	ko:K00331	M00144	ko00000,ko00001,ko00002,ko01000	3.D.1	-	Oxidored_q6
LDZ24_RS08375	NADH-quinone oxidoreductase subunit A	WP_040051564.1	quinone binding|0048038||IEA		plasma membrane|0005886||IEA		-	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	ko:K00330	M00144	ko00000,ko00001,ko00002,ko01000	3.D.1	-	Oxidored_q4
LDZ24_RS08385	preprotein translocase subunit SecG	WP_248320049.1	sialic acid transmembrane transporter activity|0015136||IEA	sialic acid transport|0015739||IEA	membrane|0016020||IEA	secG	-	Preprotein translocase SecG subunit	ko:K03075	M00335	ko00000,ko00001,ko00002,ko02044	3.A.5.1,3.A.5.2	-	SecG
LDZ24_RS08410	branched-chain amino acid ABC transporter substrate-binding protein	WP_248320053.1					-	abc transporter	ko:K01999	M00237	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	Peripla_BP_6
LDZ24_RS08475	malonate decarboxylase subunit alpha	WP_248320063.1	transferase activity|0016740||IEA	transport|0006810||IEA		mdcA	-	malonate decarboxylase alpha subunit	ko:K13929	-	ko00000,ko01000,ko02000	3.B.1.1.4	-	Mal_decarbox_Al
LDZ24_RS08485	malonate decarboxylase subunit delta	WP_248320064.1					-	Malonate decarboxylase delta subunit	ko:K13931	-	ko00000,ko02000	3.B.1.1.4	-	ACP
LDZ24_RS08625	outer membrane protein assembly factor BamC	WP_248320090.1				bamC	-	(Lipo)protein	ko:K07287	-	ko00000,ko02000	1.B.33.1	-	Lipoprotein_18
