locus_tag	product	protein_id	go_function	go_process	go_component	gene	GOs	Description	KEGG_ko	KEGG_Module	BRITE	KEGG_TC	CAZy	PFAMs
NCS66_RS02740	ABC transporter substrate-binding protein	WP_250433946.1	ABC-type transporter activity|0140359||IEA		ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing|0055052||IEA		-	PFAM extracellular solute-binding protein, family 5	ko:K02035	M00239	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	SBP_bac_5
NCS66_RS02880	branched-chain amino acid ABC transporter substrate-binding protein	WP_008351162.1	ABC-type transporter activity|0140359||IEA	transmembrane transport|0055085||IEA			-	amino acid	ko:K01999	M00237	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	Peripla_BP_6
NCS66_RS02970	ABC transporter substrate-binding protein	WP_008351129.1					-	amino acid	ko:K01999	M00237	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	Peripla_BP_6
NCS66_RS03015	LPS export ABC transporter permease LptG	WP_008351117.1	lipopolysaccharide transmembrane transporter activity|0015221||IEA	lipopolysaccharide transport|0015920||IEA	plasma membrane|0005886||IEA	lptG	-	Permease, YjgP YjgQ family	ko:K11720	M00320	ko00000,ko00001,ko00002,ko02000	1.B.42.1	-	YjgP_YjgQ
NCS66_RS03020	LPS export ABC transporter permease LptF	WP_008351116.1	lipopolysaccharide transmembrane transporter activity|0015221||IEA	lipopolysaccharide transport|0015920||IEA	plasma membrane|0005886||IEA	lptF	-	Permease, YjgP YjgQ family	ko:K07091	M00320	ko00000,ko00001,ko00002,ko02000	1.B.42.1	-	YjgP_YjgQ
NCS66_RS03040	autotransporter outer membrane beta-barrel domain-containing protein	WP_250480338.1	autotransporter activity|0015474||IEA	protein secretion by the type V secretion system|0046819||IEA	cell outer membrane|0009279||IEA		-	Autotransporter beta-domain	ko:K12678	-	ko00000,ko02000,ko02044	1.B.12.1.1,1.B.12.1.3	-	Autotransporter,PATR,Pertactin
NCS66_RS03085	TonB-dependent receptor	WP_250480341.1					-	receptor	ko:K02014,ko:K16092	-	ko00000,ko02000	1.B.14,1.B.14.3	-	Plug,TonB_dep_Rec
NCS66_RS03170	autotransporter assembly complex family protein	WP_239295371.1			cell outer membrane|0009279||IEA		-	PFAM surface antigen (D15)	ko:K07278	-	ko00000,ko02000	1.B.33.2.4	-	Bac_surface_Ag,POTRA,POTRA_TamA_1
NCS66_RS03185	OmpA family protein	WP_008351059.1	peptidoglycan binding|0042834||IEA				-	Belongs to the ompA family	ko:K03286	-	ko00000,ko02000	1.B.6	-	Gly-zipper_Omp,Gly-zipper_YMGG,OmpA
NCS66_RS03215	fimbria/pilus outer membrane usher protein	WP_250480349.1	fimbrial usher porin activity|0015473||IEA	pilus assembly|0009297||IEA	membrane|0016020||IEA		-	Outer membrane usher protein	ko:K07347	-	ko00000,ko00001,ko02000,ko02035,ko02044	1.B.11.3	-	PapC_C,Usher
NCS66_RS03255	prepilin-type N-terminal cleavage/methylation domain-containing protein	WP_008351031.1					-	Prokaryotic N-terminal methylation motif	ko:K02456	M00331	ko00000,ko00001,ko00002,ko02044	3.A.15	-	N_methyl
NCS66_RS03260	type II secretion system protein	WP_008351029.1			plasma membrane|0005886||IEA		-	Prokaryotic N-terminal methylation motif	ko:K02456	M00331	ko00000,ko00001,ko00002,ko02044	3.A.15	-	N_methyl
NCS66_RS03265	secretin N-terminal domain-containing protein	WP_034474457.1					-	Secretin and TonB N terminus short domain	ko:K02453	M00331	ko00000,ko00001,ko00002,ko02044	3.A.15	-	STN,Secretin,Secretin_N
NCS66_RS03295	type II secretion system F family protein	WP_250480357.1					-	Type II secretion system (T2SS), protein F	ko:K02455	M00331	ko00000,ko00001,ko00002,ko02044	3.A.15	-	T2SSF
NCS66_RS03395	DNA translocase FtsK	WP_008350980.1					-	PFAM cell divisionFtsK SpoIIIE	ko:K03466	-	ko00000,ko03036	3.A.12	-	FtsK_4TM,FtsK_SpoIIIE,Ftsk_gamma
NCS66_RS03415	putative hydroxymethylpyrimidine transporter CytX	WP_250480367.1	transmembrane transporter activity|0022857||IEA	transmembrane transport|0055085||IEA	membrane|0016020||IEA	cytX	-	Belongs to the purine-cytosine permease (2.A.39) family	ko:K03457	-	ko00000	2.A.39	-	Transp_cyt_pur
NCS66_RS03480	TonB family protein	WP_008350950.1	secondary active transmembrane transporter activity|0015291||IEA	transport|0006810||IEA			-	TonB family	ko:K03832	-	ko00000,ko02000	2.C.1.1	-	TonB_2
NCS66_RS03565	porin	WP_008350922.1	porin activity|0015288||IEA		cell outer membrane|0009279||IEA		-	PFAM porin Gram-negative type	ko:K03285	-	ko00000	1.B.1	-	Porin_4
NCS66_RS03670	disulfide bond formation protein B	WP_033536679.1					-	Required for disulfide bond formation in some periplasmic proteins. Acts by oxidizing the DsbA protein	ko:K03611	-	ko00000,ko03110	5.A.2.1	-	DsbB
NCS66_RS03725	LysE family transporter	WP_008350875.1		amino acid transport|0006865||IEA	membrane|0016020||IEA		-	LysE type translocator	ko:K06895	-	ko00000,ko02000	2.A.75.1	-	LysE
NCS66_RS03815	carbohydrate ABC transporter permease	WP_008350838.1		transmembrane transport|0055085||IEA			-	PFAM binding-protein-dependent transport systems inner membrane component	ko:K17317	M00605	ko00000,ko00001,ko00002,ko02000	3.A.1.1.24,3.A.1.1.30	-	BPD_transp_1
NCS66_RS03820	sugar ABC transporter permease	WP_235366287.1	ABC-type transporter activity|0140359||IEA				-	PFAM binding-protein-dependent transport systems inner membrane component	ko:K17316	M00605	ko00000,ko00001,ko00002,ko02000	3.A.1.1.24,3.A.1.1.30	-	BPD_transp_1
NCS66_RS03825	ABC transporter substrate-binding protein	WP_008350833.1	ABC-type transporter activity|0140359||IEA		ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing|0055052||IEA		-	PFAM extracellular solute-binding protein family 1	ko:K17315	M00605	ko00000,ko00001,ko00002,ko02000	3.A.1.1.24,3.A.1.1.30	-	SBP_bac_1
NCS66_RS03905	ABC transporter permease subunit	WP_008350803.1					-	PFAM binding-protein-dependent transport systems inner membrane component	ko:K02050	M00188	ko00000,ko00002,ko02000	3.A.1.16,3.A.1.17	-	BPD_transp_1
NCS66_RS03910	nitrate/sulfonate/bicarbonate ABC transporter ATP-binding protein	WP_033536675.1	ABC-type transporter activity|0140359||IEA				-	abc transporter	ko:K02049	M00188	ko00000,ko00002,ko02000	3.A.1.16,3.A.1.17	-	AAA_assoc_C,ABC_tran
NCS66_RS04215	hypothetical protein	WP_034471272.1					-	Uncharacterized protein conserved in bacteria (DUF2345)	ko:K11904	M00334	ko00000,ko00001,ko00002,ko02044	3.A.23.1	-	DUF2345,PAAR_motif,T6SS_Vgr
NCS66_RS04250	monocarboxylate uptake permease MctP	WP_008350706.1					-	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family	ko:K03307	-	ko00000	2.A.21	-	SSF
NCS66_RS04355	transporter	WP_008350659.1					-	CorA-like Mg2+ transporter protein	ko:K16074	-	ko00000,ko02000	1.A.35.4	-	CorA
NCS66_RS04360	DNA translocase FtsK	WP_250480414.1					-	Belongs to the FtsK SpoIIIE SftA family	ko:K03466	-	ko00000,ko03036	3.A.12	-	FtsK_4TM,FtsK_SpoIIIE,Ftsk_gamma
NCS66_RS04415	glycosyltransferase family 2 protein	WP_008350638.1	glycosyltransferase activity|0016757||IEA				-	glycosyl transferase family 2	ko:K12984	-	ko00000,ko01000,ko01003,ko01005,ko02000	4.D.1.3	GT2	Glycos_transf_2
NCS66_RS04425	O-antigen ligase family protein	WP_034471231.1					-	O-antigen	ko:K02847	M00080	ko00000,ko00001,ko00002,ko01000,ko01005,ko02000	9.B.67.4,9.B.67.5	-	Wzy_C
NCS66_RS04505	efflux RND transporter permease subunit	WP_034471185.1	transmembrane transporter activity|0022857||IEA	transmembrane transport|0055085||IEA	membrane|0016020||IEA		-	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family	ko:K03296,ko:K07789	M00648	ko00000,ko00001,ko00002,ko02000	2.A.6.2	-	ACR_tran
NCS66_RS04540	mechanosensitive ion channel family protein	WP_250480419.1	mechanosensitive monoatomic ion channel activity|0008381||IEA				-	mechanosensitive ion channel	ko:K22044	-	ko00000,ko02000	1.A.23.3	-	MS_channel
NCS66_RS04970	iron transporter	WP_144403849.1					-	ferrous iron transport protein	ko:K07230	-	ko00000,ko02000	2.A.108.2.10,2.A.108.2.4,2.A.108.2.9	-	Iron_transport
NCS66_RS04980	FTR1 family protein	WP_008350446.1	iron ion transmembrane transporter activity|0005381||IEA	iron ion transmembrane transport|0034755||IEA	high-affinity iron permease complex|0033573||IEA		-	Iron permease	ko:K07243	-	ko00000,ko02000	2.A.108.1,2.A.108.2	-	FTR1
NCS66_RS05025	MotA/TolQ/ExbB proton channel family protein	WP_008350435.1		protein transport|0015031||IEA	plasma membrane|0005886||IEA		-	MotA TolQ ExbB proton channel	ko:K03561	-	ko00000,ko02000	1.A.30.2.1	-	MotA_ExbB
NCS66_RS05030	energy transducer TonB	WP_250480448.1	energy transducer activity|0031992||IEA		membrane|0016020||IEA		-	Interacts with outer membrane receptor proteins that carry out high-affinity binding and energy dependent uptake into the periplasmic space of specific substrates. It could act to transduce energy from the cytoplasmic membrane to specific energy- requiring processes in the outer membrane, resulting in the release into the periplasm of ligands bound by these outer membrane proteins	ko:K03832	-	ko00000,ko02000	2.C.1.1	-	TonB_C
NCS66_RS05075	sodium:solute symporter family protein	WP_244807895.1					-	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family	ko:K14393	-	ko00000,ko02000	2.A.21.7	-	SSF
NCS66_RS05150	porin	WP_241484860.1	porin activity|0015288||IEA		cell outer membrane|0009279||IEA		-	Gram-negative porin	ko:K03285	-	ko00000	1.B.1	-	Porin_4
NCS66_RS05510	outer membrane protein assembly factor BamC	WP_250480458.1				bamC	-	(Lipo)protein	ko:K07287	-	ko00000,ko02000	1.B.33.1	-	Lipoprotein_18
NCS66_RS05850	ABC transporter substrate-binding protein	WP_008350038.1	ABC-type transporter activity|0140359||IEA		ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing|0055052||IEA		-	PFAM extracellular solute-binding protein, family 5	ko:K02035	M00239	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	SBP_bac_5
NCS66_RS05895	NCS1 family nucleobase:cation symporter-1	WP_250480478.1					-	PFAM permease for cytosine purines, uracil, thiamine, allantoin	ko:K03457	-	ko00000	2.A.39	-	Transp_cyt_pur
NCS66_RS05965	ABC transporter permease	WP_008349994.1	ABC-type transporter activity|0140359||IEA				-	Belongs to the binding-protein-dependent transport system permease family	ko:K02057	M00221	ko00000,ko00002,ko02000	3.A.1.2	-	BPD_transp_2
NCS66_RS05970	ABC transporter permease	WP_008349992.1			plasma membrane|0005886||IEA		-	Belongs to the binding-protein-dependent transport system permease family	ko:K02057	M00221	ko00000,ko00002,ko02000	3.A.1.2	-	BPD_transp_2
NCS66_RS05975	BMP family ABC transporter substrate-binding protein	WP_008349990.1					-	PFAM basic membrane lipoprotein	ko:K02058	M00221	ko00000,ko00002,ko02000	3.A.1.2	-	Bmp
NCS66_RS06050	DotU family type IV/VI secretion system protein	WP_250480485.1					-	TIGRFAM type IV VI secretion system protein, DotU family	ko:K11892	M00334	ko00000,ko00001,ko00002,ko02044	3.A.23.1	-	DotU
NCS66_RS06195	ABC transporter permease	WP_284508019.1	ABC-type transporter activity|0140359||IEA		membrane|0016020||IEA		-	Transport permease protein	ko:K09694	M00252	ko00000,ko00001,ko00002,ko02000	3.A.1.102	-	ABC2_membrane
NCS66_RS06310	inorganic phosphate transporter	WP_250480493.1		transmembrane transport|0055085||IEA	membrane|0016020||IEA		-	Phosphate transporter	ko:K03306	-	ko00000	2.A.20	-	PHO4
NCS66_RS06980	NCS1 family nucleobase:cation symporter-1	WP_033537166.1					-	Permease for cytosine/purines, uracil, thiamine, allantoin	ko:K03457	-	ko00000	2.A.39	-	Transp_cyt_pur
NCS66_RS07255	glutathione S-transferase	WP_008349463.1	glutathione binding|0043295||IEA	glutathione metabolic process|0006749||IEA			-	Glutathione S-transferase	ko:K00799	-	ko00000,ko00001,ko01000,ko02000	1.A.12.2.2,1.A.12.3.2	-	GST_C_3
NCS66_RS07265	ClcB-like voltage-gated chloride channel protein	WP_008349459.1	voltage-gated chloride channel activity|0005247||IEA	transmembrane transport|0055085||IEA	membrane|0016020||IEA		-	chloride channel	ko:K03281	-	ko00000	2.A.49	-	CBS,Voltage_CLC
NCS66_RS07285	TonB-dependent receptor	WP_250480530.1	channel activity|0015267||IEA	transmembrane transport|0055085||IEA			-	TonB dependent receptor	ko:K02014	-	ko00000,ko02000	1.B.14	-	Plug,STN,TonB_dep_Rec
NCS66_RS07300	iron export ABC transporter permease subunit FetB	WP_250480532.1				fetB	-	Uncharacterised protein family (UPF0014)	ko:K02069	M00211	ko00000,ko00002,ko02000	9.B.25.1	-	UPF0014
NCS66_RS07505	outer membrane protein assembly factor BamB	WP_008349379.1	protein binding|0005515||IEA		cell outer membrane|0009279||IEA	bamB	-	Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane	ko:K17713	-	ko00000,ko02000	1.B.33.1	-	PQQ_2,PQQ_3
NCS66_RS07560	peptidoglycan DD-metalloendopeptidase family protein	WP_034473731.1					-	peptidase	ko:K06194	-	ko00000	1.A.34.1.2	-	LysM,Peptidase_M23
NCS66_RS07590	ABC transporter permease	WP_034473729.1	transmembrane transporter activity|0022857||IEA				-	binding-protein-dependent transport systems inner membrane component	ko:K02050	M00188	ko00000,ko00002,ko02000	3.A.1.16,3.A.1.17	-	BPD_transp_1
NCS66_RS07600	ABC transporter substrate-binding protein	WP_250434830.1					-	PFAM NMT1 THI5 like domain protein	ko:K02051	M00188	ko00000,ko00002,ko02000	3.A.1.16,3.A.1.17	-	NMT1_2
NCS66_RS07660	MATE family efflux transporter	WP_250434835.1	xenobiotic transmembrane transporter activity|0042910||IEA	xenobiotic transmembrane transport|0006855||IEA	membrane|0016020||IEA		-	MATE efflux family protein	ko:K03327	-	ko00000,ko02000	2.A.66.1	-	MatE
NCS66_RS07675	helix-hairpin-helix domain-containing protein	WP_175982271.1					-	Helix-hairpin-helix motif	ko:K02237	M00429	ko00000,ko00002,ko02044	3.A.11.1,3.A.11.2	-	HHH_3
NCS66_RS08255	NADH-quinone oxidoreductase subunit NuoN	WP_244807408.1	NADH dehydrogenase (ubiquinone) activity|0008137||IEA	ATP synthesis coupled electron transport|0042773||IEA		nuoN	-	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	ko:K00343	M00144	ko00000,ko00001,ko00002,ko01000	3.D.1	-	Proton_antipo_M
NCS66_RS08275	NADH-quinone oxidoreductase subunit J	WP_008341733.1	NADH dehydrogenase (ubiquinone) activity|0008137||IEA				-	Belongs to the complex I subunit 6 family	ko:K00339	M00144	ko00000,ko00001,ko00002,ko01000	3.D.1	-	Oxidored_q3
NCS66_RS08290	NADH-quinone oxidoreductase subunit NuoG	WP_250480559.1	NADH:ubiquinone reductase (non-electrogenic) activity|0050136||IEA	mitochondrial electron transport, NADH to ubiquinone|0006120||IEA		nuoG	-	NADH-quinone oxidoreductase	ko:K00336	M00144	ko00000,ko00001,ko00002,ko01000	3.D.1	-	Fer2_4,Molybdopterin,Molydop_binding,NADH-G_4Fe-4S_3
NCS66_RS08300	NADH-quinone oxidoreductase subunit NuoE	WP_008341741.1	oxidoreductase activity|0016491||IEA			nuoE	-	PFAM NADH dehydrogenase (ubiquinone) 24 kDa subunit	ko:K00334	M00144	ko00000,ko00001,ko00002,ko01000	3.D.1	-	2Fe-2S_thioredx
NCS66_RS08305	NADH-quinone oxidoreductase subunit D	WP_008341742.1	NAD binding|0051287||IEA				-	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	ko:K00333	M00144	ko00000,ko00001,ko00002,ko01000	3.D.1	-	Complex1_49kDa
NCS66_RS08310	NADH-quinone oxidoreductase subunit C	WP_008341743.1	NADH dehydrogenase (ubiquinone) activity|0008137||IEA				-	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	ko:K00332	M00144	ko00000,ko00001,ko00002,ko01000	3.D.1	-	Complex1_30kDa
NCS66_RS08315	NADH-quinone oxidoreductase subunit B	WP_006052903.1					-	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	ko:K00331	M00144	ko00000,ko00001,ko00002,ko01000	3.D.1	-	Oxidored_q6
NCS66_RS08320	NADH-quinone oxidoreductase subunit A	WP_008341784.1	quinone binding|0048038||IEA		plasma membrane|0005886||IEA		-	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	ko:K00330	M00144	ko00000,ko00001,ko00002,ko01000	3.D.1	-	Oxidored_q4
NCS66_RS08330	preprotein translocase subunit SecG	WP_175983176.1	sialic acid transmembrane transporter activity|0015136||IEA	sialic acid transport|0015739||IEA	membrane|0016020||IEA	secG	-	Preprotein translocase SecG subunit	ko:K03075	M00335	ko00000,ko00001,ko00002,ko02044	3.A.5.1,3.A.5.2	-	SecG
NCS66_RS08355	branched-chain amino acid ABC transporter substrate-binding protein	WP_250480560.1					-	abc transporter	ko:K01999	M00237	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	Peripla_BP_6
