#query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
lcl|NZ_CP084250.1_cds_WP_248320837.1_11,1218084.BBJK01000116_gene6812,7.96e-122,351.0,"COG1462@1|root,COG1462@2|Bacteria,1NDU8@1224|Proteobacteria,2VI5Y@28216|Betaproteobacteria,1K1N2@119060|Burkholderiaceae",28216|Betaproteobacteria,M,Curli production assembly transport component CsgG,csgG,-,-,-,-,-,-,-,-,-,-,-,CsgG
lcl|NZ_CP084250.1_cds_WP_248320838.1_12,795666.MW7_1367,1.5e-215,606.0,"COG0582@1|root,COG0582@2|Bacteria,1N2H9@1224|Proteobacteria,2VICV@28216|Betaproteobacteria,1K3ZS@119060|Burkholderiaceae",28216|Betaproteobacteria,L,Belongs to the 'phage' integrase family,-,-,-,-,-,-,-,-,-,-,-,-,"Arm-DNA-bind_3,Phage_integrase"
lcl|NZ_CP084250.1_cds_WP_248320839.1_13,948106.AWZT01000020_gene4087,7.51e-150,441.0,"2E4K3@1|root,32ZF2@2|Bacteria,1RKSS@1224|Proteobacteria",1224|Proteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lcl|NZ_CP084250.1_cds_WP_248320840.1_14,948106.AWZT01000020_gene4088,8.06e-145,413.0,"COG3179@1|root,COG3409@1|root,COG3179@2|Bacteria,COG3409@2|Bacteria,1RCVN@1224|Proteobacteria",1224|Proteobacteria,M,Putative peptidoglycan binding domain,-,-,-,-,-,-,-,-,-,-,-,-,PG_binding_1
lcl|NZ_CP084250.1_cds_WP_248320842.1_16,502025.Hoch_1418,2.98e-11,77.0,"COG0515@1|root,COG1672@1|root,COG2319@1|root,COG0515@2|Bacteria,COG1672@2|Bacteria,COG2319@2|Bacteria,1MWJA@1224|Proteobacteria,42P8D@68525|delta/epsilon subdivisions,2WMH1@28221|Deltaproteobacteria,2Z33N@29|Myxococcales",28221|Deltaproteobacteria,T,SMART serine threonine protein kinase,-,-,-,-,-,-,-,-,-,-,-,-,"AAA_16,CHAT,Pkinase,WD40"
lcl|NZ_CP084250.1_cds_WP_248320843.1_17,335659.S23_36280,5.45e-37,143.0,"2EC62@1|root,3364N@2|Bacteria",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lcl|NZ_CP084250.1_cds_WP_248320844.1_18,671143.DAMO_2662,6.84e-214,609.0,"COG1403@1|root,COG1479@1|root,COG1403@2|Bacteria,COG1479@2|Bacteria",2|Bacteria,U,Protein of unknown function DUF262,-,-,2.3.1.51,"ko:K00655,ko:K07451","ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110",M00089,"R02241,R09381","RC00004,RC00037,RC00039","ko00000,ko00001,ko00002,ko01000,ko01004,ko02048",-,-,-,"DUF262,HNH"
lcl|NZ_CP084250.1_cds_WP_305854673.1_19,381666.H16_A0014,2.51e-74,241.0,"COG3183@1|root,COG3183@2|Bacteria,1QZK4@1224|Proteobacteria,2VWTI@28216|Betaproteobacteria",28216|Betaproteobacteria,L,HNH nucleases,-,-,-,ko:K07451,-,-,-,-,"ko00000,ko01000,ko02048",-,-,-,"DUF3578,HNH"
lcl|NZ_CP084250.1_cds_WP_248320845.1_20,338963.Pcar_0786,0.000369,47.8,"2DSZG@1|root,33I25@2|Bacteria,1Q5IA@1224|Proteobacteria,431B0@68525|delta/epsilon subdivisions,2WWSW@28221|Deltaproteobacteria,43VGQ@69541|Desulfuromonadales",28221|Deltaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lcl|NZ_CP084250.1_cds_WP_248320846.1_21,1434929.X946_211,3.94e-124,389.0,"COG3598@1|root,COG4643@1|root,COG3598@2|Bacteria,COG4643@2|Bacteria,1R4EA@1224|Proteobacteria,2VKG4@28216|Betaproteobacteria,1K0AY@119060|Burkholderiaceae",28216|Betaproteobacteria,L,AAA domain,-,-,-,-,-,-,-,-,-,-,-,-,"AAA_25,PriCT_2"
lcl|NZ_CP084250.1_cds_WP_371747358.1_22,743299.Acife_3184,1.98e-42,152.0,"COG0631@1|root,COG0631@2|Bacteria,1MVE7@1224|Proteobacteria,1SDM8@1236|Gammaproteobacteria",1236|Gammaproteobacteria,T,Phosphatase,-,-,3.1.3.16,ko:K20074,-,-,-,-,"ko00000,ko01000,ko01009",-,-,-,PP2C_2
lcl|NZ_CP084250.1_cds_WP_248320848.1_23,1392498.JQLH01000001_gene3753,1.47e-91,291.0,"COG0515@1|root,COG0515@2|Bacteria,4NIMA@976|Bacteroidetes,1I909@117743|Flavobacteriia",976|Bacteroidetes,KLT,Protein tyrosine kinase,-,-,2.7.11.1,"ko:K08838,ko:K12132",-,-,-,-,"ko00000,ko01000,ko01001,ko04131",-,-,-,"MORN,Pkinase"
lcl|NZ_CP084250.1_cds_WP_248320849.1_24,1071679.BG57_17865,3.74e-81,241.0,"COG2050@1|root,COG2050@2|Bacteria,1MYM3@1224|Proteobacteria,2VTF1@28216|Betaproteobacteria,1K7CY@119060|Burkholderiaceae",28216|Betaproteobacteria,Q,PFAM thioesterase superfamily protein,-,-,-,-,-,-,-,-,-,-,-,-,4HBT
lcl|NZ_CP084250.1_cds_WP_248320850.1_25,1071679.BG57_17870,7.51e-204,564.0,"COG1752@1|root,COG1752@2|Bacteria,1REEJ@1224|Proteobacteria,2VRMU@28216|Betaproteobacteria,1K0ZP@119060|Burkholderiaceae",28216|Betaproteobacteria,S,PFAM Patatin,-,-,-,-,-,-,-,-,-,-,-,-,Patatin
lcl|NZ_CP084250.1_cds_WP_248320851.1_26,1097668.BYI23_A000130,1.37e-98,287.0,"COG1764@1|root,COG1764@2|Bacteria,1RHVR@1224|Proteobacteria,2VQHP@28216|Betaproteobacteria,1K70U@119060|Burkholderiaceae",28216|Betaproteobacteria,O,PFAM OsmC family protein,-,-,-,-,-,-,-,-,-,-,-,-,OsmC
lcl|NZ_CP084250.1_cds_WP_175938885.1_27,1071679.BG57_17880,9.02e-232,639.0,"COG0111@1|root,COG0111@2|Bacteria,1MW0R@1224|Proteobacteria,2VHIZ@28216|Betaproteobacteria,1K2W9@119060|Burkholderiaceae",28216|Betaproteobacteria,C,D-isomer specific 2-hydroxyacid dehydrogenase,serA,-,"1.1.1.399,1.1.1.95",ko:K00058,"ko00260,ko00680,ko01100,ko01120,ko01130,ko01200,ko01230,map00260,map00680,map01100,map01120,map01130,map01200,map01230",M00020,R01513,RC00031,"ko00000,ko00001,ko00002,ko01000,ko04147",-,-,-,"2-Hacid_dh,2-Hacid_dh_C"
lcl|NZ_CP084250.1_cds_WP_248320852.1_28,1458357.BG58_34640,0.0,1239.0,"COG1274@1|root,COG1274@2|Bacteria,1MX3C@1224|Proteobacteria,2VINZ@28216|Betaproteobacteria,1JZXA@119060|Burkholderiaceae",28216|Betaproteobacteria,H,"Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP), the rate-limiting step in the metabolic pathway that produces glucose from lactate and other precursors derived from the citric acid cycle",pckG,"GO:0000003,GO:0001655,GO:0001822,GO:0001889,GO:0003006,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003824,GO:0004457,GO:0004611,GO:0004613,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0005975,GO:0005996,GO:0006006,GO:0006007,GO:0006066,GO:0006071,GO:0006082,GO:0006089,GO:0006090,GO:0006091,GO:0006094,GO:0006109,GO:0006111,GO:0006113,GO:0006139,GO:0006163,GO:0006464,GO:0006629,GO:0006631,GO:0006725,GO:0006732,GO:0006733,GO:0006734,GO:0006735,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0007028,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007296,GO:0007610,GO:0008150,GO:0008152,GO:0008906,GO:0009056,GO:0009058,GO:0009062,GO:0009117,GO:0009123,GO:0009126,GO:0009132,GO:0009135,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009166,GO:0009167,GO:0009179,GO:0009185,GO:0009199,GO:0009205,GO:0009259,GO:0009410,GO:0009605,GO:0009636,GO:0009653,GO:0009719,GO:0009725,GO:0009790,GO:0009792,GO:0009887,GO:0009888,GO:0009889,GO:0009966,GO:0009967,GO:0009987,GO:0009991,GO:0010033,GO:0010243,GO:0010646,GO:0010647,GO:0010675,GO:0010906,GO:0014070,GO:0014074,GO:0015036,GO:0015980,GO:0016042,GO:0016043,GO:0016051,GO:0016052,GO:0016053,GO:0016054,GO:0016301,GO:0016310,GO:0016491,GO:0016614,GO:0016651,GO:0016667,GO:0016668,GO:0016740,GO:0016772,GO:0016773,GO:0016829,GO:0016830,GO:0016831,GO:0016999,GO:0017001,GO:0017144,GO:0018130,GO:0018991,GO:0019098,GO:0019222,GO:0019249,GO:0019318,GO:0019319,GO:0019320,GO:0019362,GO:0019400,GO:0019405,GO:0019438,GO:0019439,GO:0019516,GO:0019538,GO:0019541,GO:0019543,GO:0019563,GO:0019626,GO:0019637,GO:0019659,GO:0019660,GO:0019661,GO:0019666,GO:0019674,GO:0019693,GO:0019751,GO:0019752,GO:0019953,GO:0022412,GO:0022414,GO:0023051,GO:0023056,GO:0030145,GO:0030154,GO:0030703,GO:0030855,GO:0031323,GO:0031667,GO:0031960,GO:0031974,GO:0032501,GO:0032502,GO:0032504,GO:0032787,GO:0032868,GO:0032869,GO:0032870,GO:0033993,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0035690,GO:0036211,GO:0042221,GO:0042493,GO:0042594,GO:0042737,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043255,GO:0043412,GO:0043434,GO:0043436,GO:0043687,GO:0043900,GO:0043903,GO:0043949,GO:0043950,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044267,GO:0044270,GO:0044271,GO:0044275,GO:0044281,GO:0044282,GO:0044283,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0045471,GO:0046031,GO:0046034,GO:0046164,GO:0046174,GO:0046364,GO:0046365,GO:0046394,GO:0046395,GO:0046434,GO:0046459,GO:0046483,GO:0046496,GO:0046677,GO:0046683,GO:0046700,GO:0046872,GO:0046914,GO:0047134,GO:0048468,GO:0048477,GO:0048513,GO:0048518,GO:0048522,GO:0048545,GO:0048562,GO:0048568,GO:0048583,GO:0048584,GO:0048598,GO:0048609,GO:0048646,GO:0048731,GO:0048732,GO:0048856,GO:0048869,GO:0050789,GO:0050792,GO:0050794,GO:0050896,GO:0051186,GO:0051384,GO:0051591,GO:0051704,GO:0051716,GO:0055086,GO:0055114,GO:0060429,GO:0061005,GO:0061008,GO:0062012,GO:0065007,GO:0070013,GO:0070365,GO:0070887,GO:0071236,GO:0071310,GO:0071361,GO:0071375,GO:0071383,GO:0071384,GO:0071385,GO:0071396,GO:0071407,GO:0071417,GO:0071466,GO:0071495,GO:0071548,GO:0071549,GO:0071704,GO:0071840,GO:0072001,GO:0072071,GO:0072329,GO:0072330,GO:0072521,GO:0072524,GO:0080090,GO:0097159,GO:0097237,GO:0097305,GO:0097306,GO:0097327,GO:1901135,GO:1901292,GO:1901360,GO:1901361,GO:1901362,GO:1901363,GO:1901564,GO:1901575,GO:1901576,GO:1901615,GO:1901616,GO:1901617,GO:1901652,GO:1901653,GO:1901654,GO:1901655,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1902531,GO:1902533",4.1.1.32,ko:K01596,"ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko03320,ko04068,ko04151,ko04152,ko04910,ko04920,ko04922,ko04931,ko04964,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map03320,map04068,map04151,map04152,map04910,map04920,map04922,map04931,map04964",M00003,"R00431,R00726","RC00002,RC02741","ko00000,ko00001,ko00002,ko01000",-,-,-,"PEPCK_C,PEPCK_N"
lcl|NZ_CP084250.1_cds_WP_175938889.1_29,1071679.BG57_17890,1.24e-240,664.0,"COG0583@1|root,COG0583@2|Bacteria,1MW16@1224|Proteobacteria,2VPNX@28216|Betaproteobacteria,1K091@119060|Burkholderiaceae",28216|Betaproteobacteria,K,"Transcriptional regulator, LysR family",-,-,-,-,-,-,-,-,-,-,-,-,"HTH_1,LysR_substrate"
lcl|NZ_CP084250.1_cds_WP_248320853.1_30,1071679.BG57_17895,0.0,1640.0,"COG0550@1|root,COG0550@2|Bacteria,1MUFZ@1224|Proteobacteria,2VHUF@28216|Betaproteobacteria,1K0Y7@119060|Burkholderiaceae",28216|Betaproteobacteria,L,dna topoisomerase III,topB,-,5.99.1.2,ko:K03169,-,-,-,-,"ko00000,ko01000,ko03032",-,-,-,"SWIB,Topoisom_bac,Toprim,Toprim_Crpt"
lcl|NZ_CP084250.1_cds_WP_248320854.1_31,1071679.BG57_17900,5.29e-78,233.0,"COG0526@1|root,COG0526@2|Bacteria,1N4JB@1224|Proteobacteria,2VU8V@28216|Betaproteobacteria,1K7NI@119060|Burkholderiaceae",28216|Betaproteobacteria,CO,Thioredoxin,-,-,-,-,-,-,-,-,-,-,-,-,Thioredoxin
lcl|NZ_CP084250.1_cds_WP_248320855.1_32,1071679.BG57_17905,2.42e-225,629.0,"COG0758@1|root,COG0758@2|Bacteria,1MVF6@1224|Proteobacteria,2VH3W@28216|Betaproteobacteria,1K1PV@119060|Burkholderiaceae",28216|Betaproteobacteria,LU,DNA protecting protein DprA,smf,-,-,ko:K04096,-,-,-,-,ko00000,-,-,-,DNA_processg_A
lcl|NZ_CP084250.1_cds_WP_248320856.1_33,1097668.BYI23_A000200,1.35e-107,311.0,"COG0242@1|root,COG0242@2|Bacteria,1RA2P@1224|Proteobacteria,2VQ4N@28216|Betaproteobacteria,1K15X@119060|Burkholderiaceae",28216|Betaproteobacteria,J,Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions,def,-,3.5.1.88,ko:K01462,-,-,-,-,"ko00000,ko01000",-,-,-,Pep_deformylase
lcl|NZ_CP084250.1_cds_WP_248320857.1_34,1071679.BG57_17915,7.2e-199,555.0,"COG0223@1|root,COG0223@2|Bacteria,1MU4Q@1224|Proteobacteria,2VIS2@28216|Betaproteobacteria,1K23X@119060|Burkholderiaceae",28216|Betaproteobacteria,J,Attaches a formyl group to the free amino group of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus,fmt,-,2.1.2.9,ko:K00604,"ko00670,ko00970,map00670,map00970",-,R03940,"RC00026,RC00165","ko00000,ko00001,ko01000",-,-,-,"Formyl_trans_C,Formyl_trans_N"
lcl|NZ_CP084250.1_cds_WP_248320858.1_35,1071679.BG57_17920,1.17e-136,388.0,"COG1280@1|root,COG1280@2|Bacteria,1MWA1@1224|Proteobacteria,2VNUR@28216|Betaproteobacteria,1K435@119060|Burkholderiaceae",28216|Betaproteobacteria,E,PFAM Lysine exporter protein (LYSE YGGA),leuE_1,-,-,ko:K11250,-,-,-,-,"ko00000,ko02000",2.A.76.1.5,-,-,LysE
lcl|NZ_CP084250.1_cds_WP_206467320.1_36,1071679.BG57_17925,1.54e-189,528.0,"COG0501@1|root,COG0501@2|Bacteria,1MUV4@1224|Proteobacteria,2VIVB@28216|Betaproteobacteria,1K02Z@119060|Burkholderiaceae",28216|Betaproteobacteria,O,Belongs to the peptidase M48B family,htpX,-,-,ko:K03799,-,M00743,-,-,"ko00000,ko00002,ko01000,ko01002",-,-,-,Peptidase_M48
lcl|NZ_CP084250.1_cds_WP_248320859.1_37,1071679.BG57_17930,6.23e-288,794.0,"COG0144@1|root,COG0144@2|Bacteria,1MWPE@1224|Proteobacteria,2VI4V@28216|Betaproteobacteria,1K1JQ@119060|Burkholderiaceae",28216|Betaproteobacteria,J,Specifically methylates the cytosine at position 967 (m5C967) of 16S rRNA,sun,-,2.1.1.176,ko:K03500,-,-,-,-,"ko00000,ko01000,ko03009",-,-,-,"Methyltr_RsmB-F,NusB"
lcl|NZ_CP084250.1_cds_WP_248320860.1_38,1097668.BYI23_A000250,1.03e-133,379.0,"29CX4@1|root,2ZZV8@2|Bacteria,1RFY7@1224|Proteobacteria,2VR98@28216|Betaproteobacteria,1K464@119060|Burkholderiaceae",28216|Betaproteobacteria,S,signal peptide protein,-,-,-,-,-,-,-,-,-,-,-,-,DUF4390
lcl|NZ_CP084250.1_cds_WP_305854674.1_39,1071679.BG57_17940,0.0,1441.0,"COG5000@1|root,COG5000@2|Bacteria,1MWKZ@1224|Proteobacteria,2VIDI@28216|Betaproteobacteria,1K1RB@119060|Burkholderiaceae",28216|Betaproteobacteria,T,Histidine kinase,ntrY,-,-,-,-,-,-,-,-,-,-,-,"HAMP,HATPase_c,HisKA,PAS_4,PAS_7,PAS_8"
lcl|NZ_CP084250.1_cds_WP_248320862.1_40,1071679.BG57_17945,3.11e-141,402.0,"COG2204@1|root,COG2204@2|Bacteria,1MU0N@1224|Proteobacteria,2VKD8@28216|Betaproteobacteria,1K3GV@119060|Burkholderiaceae",28216|Betaproteobacteria,T,response regulator,ntrX,-,-,-,-,-,-,-,-,-,-,-,"HTH_8,Response_reg,Sigma54_activ_2"
lcl|NZ_CP084250.1_cds_WP_248320863.1_41,1097668.BYI23_A000290,2.91e-174,486.0,"COG0603@1|root,COG0603@2|Bacteria,1MU5V@1224|Proteobacteria,2VHY3@28216|Betaproteobacteria,1K3IX@119060|Burkholderiaceae",28216|Betaproteobacteria,F,Catalyzes the ATP-dependent conversion of 7-carboxy-7- deazaguanine (CDG) to 7-cyano-7-deazaguanine (preQ(0)),queC,-,6.3.4.20,ko:K06920,"ko00790,ko01100,map00790,map01100",-,R09978,RC00959,"ko00000,ko00001,ko01000,ko03016",-,-,-,QueC
lcl|NZ_CP084250.1_cds_WP_248320864.1_42,1097668.BYI23_A000300,1.41e-155,436.0,"COG0602@1|root,COG0602@2|Bacteria,1MUJ2@1224|Proteobacteria,2VGZ7@28216|Betaproteobacteria,1JZY9@119060|Burkholderiaceae",28216|Betaproteobacteria,H,"Catalyzes the complex heterocyclic radical-mediated conversion of 6-carboxy-5,6,7,8-tetrahydropterin (CPH4) to 7- carboxy-7-deazaguanine (CDG), a step common to the biosynthetic pathways of all 7-deazapurine-containing compounds",queE,"GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0008144,GO:0016829,GO:0016840,GO:0042802,GO:0042803,GO:0043167,GO:0043169,GO:0046872,GO:0046983,GO:0048037,GO:0050662,GO:0051536,GO:0051539,GO:0051540,GO:1901681,GO:1904047",4.3.99.3,ko:K10026,"ko00790,ko01100,map00790,map01100",-,R10002,RC02989,"ko00000,ko00001,ko01000,ko03016",-,-,-,"Fer4_14,Radical_SAM"
lcl|NZ_CP084250.1_cds_WP_248320866.1_43,1071679.BG57_17960,2.75e-100,291.0,"COG0720@1|root,COG0720@2|Bacteria,1RETG@1224|Proteobacteria,2VRBN@28216|Betaproteobacteria,1K4ID@119060|Burkholderiaceae",28216|Betaproteobacteria,H,synthase,queD,-,"4.1.2.50,4.2.3.12",ko:K01737,"ko00790,ko01100,map00790,map01100","M00842,M00843","R04286,R09959","RC01117,RC02846,RC02847","ko00000,ko00001,ko00002,ko01000,ko03016",-,-,-,PTPS
lcl|NZ_CP084250.1_cds_WP_248320867.1_44,1071679.BG57_17965,1.25e-167,470.0,"COG3836@1|root,COG3836@2|Bacteria,1MUSG@1224|Proteobacteria,2VN7W@28216|Betaproteobacteria,1K27W@119060|Burkholderiaceae",28216|Betaproteobacteria,G,Belongs to the HpcH HpaI aldolase family,garL,-,4.1.2.20,ko:K01630,"ko00053,map00053",-,"R02754,R03277","RC00307,RC00435","ko00000,ko00001,ko01000",-,-,-,HpcH_HpaI
lcl|NZ_CP084250.1_cds_WP_371747359.1_45,1071679.BG57_17970,5.7e-65,208.0,"COG0790@1|root,COG0790@2|Bacteria,1MWPA@1224|Proteobacteria,2VR5X@28216|Betaproteobacteria,1K1U7@119060|Burkholderiaceae",28216|Betaproteobacteria,S,PFAM Sel1 domain protein repeat-containing protein,-,-,-,ko:K07126,-,-,-,-,ko00000,-,-,-,Sel1
lcl|NZ_CP084250.1_cds_WP_371747360.1_46,1071679.BG57_17975,5.53e-263,722.0,"COG0772@1|root,COG0772@2|Bacteria,1MUK3@1224|Proteobacteria,2VH8Q@28216|Betaproteobacteria,1K1AN@119060|Burkholderiaceae",28216|Betaproteobacteria,M,Peptidoglycan polymerase that is essential for cell wall elongation,mrdB,-,-,ko:K05837,-,-,-,-,"ko00000,ko03036",-,-,-,FTSW_RODA_SPOVE
