#query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
lcl|NZ_JALQDU010000001.1_cds_WP_008352233.1_14,1458357.BG58_31490,7.27e-73,219.0,"2A8YJ@1|root,30Y2B@2|Bacteria,1PJXR@1224|Proteobacteria,2W89M@28216|Betaproteobacteria,1K8ET@119060|Burkholderiaceae",28216|Betaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lcl|NZ_JALQDU010000001.1_cds_WP_175979694.1_15,1097668.BYI23_A027610,1e-129,370.0,"COG1280@1|root,COG1280@2|Bacteria,1MXAI@1224|Proteobacteria,2VSIU@28216|Betaproteobacteria,1K4TW@119060|Burkholderiaceae",28216|Betaproteobacteria,E,LysE type translocator,-,-,-,-,-,-,-,-,-,-,-,-,LysE
lcl|NZ_JALQDU010000001.1_cds_WP_175979695.1_16,1097668.BYI23_A027620,1.28e-102,297.0,"COG4538@1|root,COG4538@2|Bacteria,1Q90R@1224|Proteobacteria,2WC2S@28216|Betaproteobacteria,1K74E@119060|Burkholderiaceae",28216|Betaproteobacteria,S,SnoaL-like domain,-,-,-,-,-,-,-,-,-,-,-,-,SnoaL_3
lcl|NZ_JALQDU010000001.1_cds_WP_008352230.1_17,1097668.BYI23_A027630,3.23e-306,838.0,"COG0486@1|root,COG0486@2|Bacteria,1MUCQ@1224|Proteobacteria,2VHCJ@28216|Betaproteobacteria,1JZXE@119060|Burkholderiaceae",28216|Betaproteobacteria,J,"Exhibits a very high intrinsic GTPase hydrolysis rate. Involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA- cmnm(5)s(2)U34",mnmE,-,-,ko:K03650,-,-,R08701,"RC00053,RC00209,RC00870","ko00000,ko01000,ko03016",-,-,-,"MMR_HSR1,MnmE_helical,TrmE_N"
lcl|NZ_JALQDU010000001.1_cds_WP_008352229.1_18,1458357.BG58_31315,3.86e-93,272.0,"COG2320@1|root,COG2320@2|Bacteria,1N07G@1224|Proteobacteria,2VUE8@28216|Betaproteobacteria,1KG9Q@119060|Burkholderiaceae",28216|Betaproteobacteria,S,Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A,-,-,-,-,-,-,-,-,-,-,-,-,-
lcl|NZ_JALQDU010000001.1_cds_WP_008352228.1_19,1458357.BG58_31310,0.0,1067.0,"COG0706@1|root,COG0706@2|Bacteria,1MV5M@1224|Proteobacteria,2VHIA@28216|Betaproteobacteria,1K3F4@119060|Burkholderiaceae",28216|Betaproteobacteria,U,"Required for the insertion and or proper folding and or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins. Aids folding of multispanning membrane proteins",yidC,-,-,ko:K03217,"ko02024,ko03060,ko03070,map02024,map03060,map03070",M00335,-,-,"ko00000,ko00001,ko00002,ko02044,ko03029",2.A.9,-,-,"60KD_IMP,YidC_periplas"
lcl|NZ_JALQDU010000001.1_cds_WP_033536595.1_20,1097668.BYI23_A027670,1.1e-61,189.0,"COG0759@1|root,COG0759@2|Bacteria,1N6U4@1224|Proteobacteria,2VVTR@28216|Betaproteobacteria,1K9BR@119060|Burkholderiaceae",28216|Betaproteobacteria,S,Could be involved in insertion of integral membrane proteins into the membrane,yidD,-,-,ko:K08998,-,-,-,-,ko00000,-,-,-,Haemolytic
lcl|NZ_JALQDU010000001.1_cds_WP_308196617.1_21,1458357.BG58_31300,1.86e-94,277.0,"COG0594@1|root,COG0594@2|Bacteria,1PVTI@1224|Proteobacteria,2VW57@28216|Betaproteobacteria,1K0Q8@119060|Burkholderiaceae",28216|Betaproteobacteria,J,RNaseP catalyzes the removal of the 5'-leader sequence from pre-tRNA to produce the mature 5'-terminus. It can also cleave other RNA substrates such as 4.5S RNA. The protein component plays an auxiliary but essential role in vivo by binding to the 5'-leader sequence and broadening the substrate specificity of the ribozyme,rnpA,-,3.1.26.5,ko:K03536,-,-,-,-,"ko00000,ko01000,ko03016",-,-,-,Ribonuclease_P
lcl|NZ_JALQDU010000001.1_cds_WP_004198824.1_22,1192124.LIG30_1155,2.77e-21,83.6,"COG0230@1|root,COG0230@2|Bacteria,1NGGS@1224|Proteobacteria,2VXTS@28216|Betaproteobacteria,1KAAA@119060|Burkholderiaceae",28216|Betaproteobacteria,J,Belongs to the bacterial ribosomal protein bL34 family,rpmH,-,-,ko:K02914,"ko03010,map03010",M00178,-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L34
lcl|NZ_JALQDU010000001.1_cds_WP_008352222.1_23,1458357.BG58_31290,0.0,934.0,"COG0593@1|root,COG0593@2|Bacteria,1MU5H@1224|Proteobacteria,2VHH0@28216|Betaproteobacteria,1K152@119060|Burkholderiaceae",28216|Betaproteobacteria,L,it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids,dnaA,-,-,ko:K02313,"ko02020,ko04112,map02020,map04112",-,-,-,"ko00000,ko00001,ko03032,ko03036",-,-,-,"Bac_DnaA,Bac_DnaA_C,DnaA_N"
lcl|NZ_JALQDU010000001.1_cds_WP_008352220.1_24,1458357.BG58_31285,2.28e-251,691.0,"COG0592@1|root,COG0592@2|Bacteria,1MVD9@1224|Proteobacteria,2VH9B@28216|Betaproteobacteria,1K1D0@119060|Burkholderiaceae",28216|Betaproteobacteria,L,"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria",dnaN,-,2.7.7.7,ko:K02338,"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440",M00260,"R00375,R00376,R00377,R00378",RC02795,"ko00000,ko00001,ko00002,ko01000,ko03032,ko03400",-,-,-,"DNA_pol3_beta,DNA_pol3_beta_2,DNA_pol3_beta_3"
lcl|NZ_JALQDU010000001.1_cds_WP_008352217.1_25,1097668.BYI23_A000030,0.0,1590.0,"COG0187@1|root,COG0187@2|Bacteria,1MVKT@1224|Proteobacteria,2VI8N@28216|Betaproteobacteria,1K194@119060|Burkholderiaceae",28216|Betaproteobacteria,L,"A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner",gyrB,-,5.99.1.3,ko:K02470,-,-,-,-,"ko00000,ko01000,ko03032,ko03400",-,-,-,"DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim"
lcl|NZ_JALQDU010000001.1_cds_WP_250480205.1_26,1097668.BYI23_A000040,5.57e-188,525.0,"COG2207@1|root,COG3449@1|root,COG2207@2|Bacteria,COG3449@2|Bacteria,1MWTF@1224|Proteobacteria,2VQU7@28216|Betaproteobacteria,1KIGV@119060|Burkholderiaceae",28216|Betaproteobacteria,K,AraC family transcriptional regulator,tetD,-,-,ko:K13652,-,-,-,-,"ko00000,ko03000",-,-,-,"GyrI-like,HTH_18"
lcl|NZ_JALQDU010000001.1_cds_WP_008352215.1_27,1071679.BG57_24520,3.31e-35,120.0,"COG1326@1|root,COG1326@2|Bacteria,1P3VF@1224|Proteobacteria,2W4YY@28216|Betaproteobacteria,1KA5B@119060|Burkholderiaceae",28216|Betaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lcl|NZ_JALQDU010000001.1_cds_WP_034470302.1_28,1097668.BYI23_A000080,2.32e-314,858.0,"COG0513@1|root,COG0513@2|Bacteria,1MU49@1224|Proteobacteria,2VH16@28216|Betaproteobacteria,1K43J@119060|Burkholderiaceae",28216|Betaproteobacteria,L,Belongs to the DEAD box helicase family,dbpA,"GO:0000339,GO:0003674,GO:0003676,GO:0003723,GO:0003724,GO:0003725,GO:0003729,GO:0003824,GO:0004004,GO:0004386,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006412,GO:0006413,GO:0006518,GO:0006725,GO:0006807,GO:0008026,GO:0008135,GO:0008150,GO:0008152,GO:0008186,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0010468,GO:0010501,GO:0016070,GO:0016281,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019222,GO:0019538,GO:0032991,GO:0034641,GO:0034645,GO:0042623,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050789,GO:0060255,GO:0065007,GO:0070035,GO:0071704,GO:0090304,GO:0097159,GO:0140098,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576",3.6.4.13,ko:K05591,-,-,-,-,"ko00000,ko01000,ko03009",-,-,-,"DEAD,DbpA,Helicase_C"
lcl|NZ_JALQDU010000001.1_cds_WP_034470744.1_29,1458357.BG58_31260,2.72e-300,822.0,"COG0477@1|root,COG0477@2|Bacteria,1MWUR@1224|Proteobacteria,2VMD4@28216|Betaproteobacteria,1K10S@119060|Burkholderiaceae",28216|Betaproteobacteria,EGP,PFAM major facilitator superfamily MFS_1,-,-,-,ko:K08169,-,-,-,-,"ko00000,ko02000",2.A.1.3.17,-,-,MFS_1
lcl|NZ_JALQDU010000001.1_cds_WP_034470746.1_30,1458357.BG58_31255,2.21e-76,229.0,"COG3189@1|root,COG3189@2|Bacteria,1RHYB@1224|Proteobacteria,2VSIB@28216|Betaproteobacteria,1K7MI@119060|Burkholderiaceae",28216|Betaproteobacteria,S,"Protein of unknown function, DUF488",-,-,-,-,-,-,-,-,-,-,-,-,DUF488
lcl|NZ_JALQDU010000001.1_cds_WP_250480189.1_31,1458357.BG58_34660,2.08e-82,244.0,"COG2050@1|root,COG2050@2|Bacteria,1MYM3@1224|Proteobacteria,2VTF1@28216|Betaproteobacteria,1K7CY@119060|Burkholderiaceae",28216|Betaproteobacteria,Q,PFAM thioesterase superfamily protein,-,-,-,-,-,-,-,-,-,-,-,-,4HBT
lcl|NZ_JALQDU010000001.1_cds_WP_034470311.1_32,1097668.BYI23_A000120,1.77e-202,561.0,"COG1752@1|root,COG1752@2|Bacteria,1REEJ@1224|Proteobacteria,2VRMU@28216|Betaproteobacteria,1K0ZP@119060|Burkholderiaceae",28216|Betaproteobacteria,S,PFAM Patatin,-,-,-,-,-,-,-,-,-,-,-,-,Patatin
lcl|NZ_JALQDU010000001.1_cds_WP_175979696.1_33,1458357.BG58_34650,4.13e-109,314.0,"COG1764@1|root,COG1764@2|Bacteria,1RHVR@1224|Proteobacteria,2VQHP@28216|Betaproteobacteria,1K70U@119060|Burkholderiaceae",28216|Betaproteobacteria,O,PFAM OsmC family protein,-,-,-,-,-,-,-,-,-,-,-,-,OsmC
lcl|NZ_JALQDU010000001.1_cds_WP_008352199.1_34,1458357.BG58_34645,1.03e-237,654.0,"COG0111@1|root,COG0111@2|Bacteria,1MW0R@1224|Proteobacteria,2VHIZ@28216|Betaproteobacteria,1K2W9@119060|Burkholderiaceae",28216|Betaproteobacteria,C,D-isomer specific 2-hydroxyacid dehydrogenase,serA,-,"1.1.1.399,1.1.1.95",ko:K00058,"ko00260,ko00680,ko01100,ko01120,ko01130,ko01200,ko01230,map00260,map00680,map01100,map01120,map01130,map01200,map01230",M00020,R01513,RC00031,"ko00000,ko00001,ko00002,ko01000,ko04147",-,-,-,"2-Hacid_dh,2-Hacid_dh_C"
lcl|NZ_JALQDU010000001.1_cds_WP_250480190.1_35,1097668.BYI23_A000150,0.0,1281.0,"COG1274@1|root,COG1274@2|Bacteria,1MX3C@1224|Proteobacteria,2VINZ@28216|Betaproteobacteria,1JZXA@119060|Burkholderiaceae",28216|Betaproteobacteria,H,"Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP), the rate-limiting step in the metabolic pathway that produces glucose from lactate and other precursors derived from the citric acid cycle",pckG,"GO:0000003,GO:0001655,GO:0001822,GO:0001889,GO:0003006,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003824,GO:0004457,GO:0004611,GO:0004613,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0005975,GO:0005996,GO:0006006,GO:0006007,GO:0006066,GO:0006071,GO:0006082,GO:0006089,GO:0006090,GO:0006091,GO:0006094,GO:0006109,GO:0006111,GO:0006113,GO:0006139,GO:0006163,GO:0006464,GO:0006629,GO:0006631,GO:0006725,GO:0006732,GO:0006733,GO:0006734,GO:0006735,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0007028,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007296,GO:0007610,GO:0008150,GO:0008152,GO:0008906,GO:0009056,GO:0009058,GO:0009062,GO:0009117,GO:0009123,GO:0009126,GO:0009132,GO:0009135,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009166,GO:0009167,GO:0009179,GO:0009185,GO:0009199,GO:0009205,GO:0009259,GO:0009410,GO:0009605,GO:0009636,GO:0009653,GO:0009719,GO:0009725,GO:0009790,GO:0009792,GO:0009887,GO:0009888,GO:0009889,GO:0009966,GO:0009967,GO:0009987,GO:0009991,GO:0010033,GO:0010243,GO:0010646,GO:0010647,GO:0010675,GO:0010906,GO:0014070,GO:0014074,GO:0015036,GO:0015980,GO:0016042,GO:0016043,GO:0016051,GO:0016052,GO:0016053,GO:0016054,GO:0016301,GO:0016310,GO:0016491,GO:0016614,GO:0016651,GO:0016667,GO:0016668,GO:0016740,GO:0016772,GO:0016773,GO:0016829,GO:0016830,GO:0016831,GO:0016999,GO:0017001,GO:0017144,GO:0018130,GO:0018991,GO:0019098,GO:0019222,GO:0019249,GO:0019318,GO:0019319,GO:0019320,GO:0019362,GO:0019400,GO:0019405,GO:0019438,GO:0019439,GO:0019516,GO:0019538,GO:0019541,GO:0019543,GO:0019563,GO:0019626,GO:0019637,GO:0019659,GO:0019660,GO:0019661,GO:0019666,GO:0019674,GO:0019693,GO:0019751,GO:0019752,GO:0019953,GO:0022412,GO:0022414,GO:0023051,GO:0023056,GO:0030145,GO:0030154,GO:0030703,GO:0030855,GO:0031323,GO:0031667,GO:0031960,GO:0031974,GO:0032501,GO:0032502,GO:0032504,GO:0032787,GO:0032868,GO:0032869,GO:0032870,GO:0033993,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0035690,GO:0036211,GO:0042221,GO:0042493,GO:0042594,GO:0042737,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043255,GO:0043412,GO:0043434,GO:0043436,GO:0043687,GO:0043900,GO:0043903,GO:0043949,GO:0043950,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044267,GO:0044270,GO:0044271,GO:0044275,GO:0044281,GO:0044282,GO:0044283,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0045471,GO:0046031,GO:0046034,GO:0046164,GO:0046174,GO:0046364,GO:0046365,GO:0046394,GO:0046395,GO:0046434,GO:0046459,GO:0046483,GO:0046496,GO:0046677,GO:0046683,GO:0046700,GO:0046872,GO:0046914,GO:0047134,GO:0048468,GO:0048477,GO:0048513,GO:0048518,GO:0048522,GO:0048545,GO:0048562,GO:0048568,GO:0048583,GO:0048584,GO:0048598,GO:0048609,GO:0048646,GO:0048731,GO:0048732,GO:0048856,GO:0048869,GO:0050789,GO:0050792,GO:0050794,GO:0050896,GO:0051186,GO:0051384,GO:0051591,GO:0051704,GO:0051716,GO:0055086,GO:0055114,GO:0060429,GO:0061005,GO:0061008,GO:0062012,GO:0065007,GO:0070013,GO:0070365,GO:0070887,GO:0071236,GO:0071310,GO:0071361,GO:0071375,GO:0071383,GO:0071384,GO:0071385,GO:0071396,GO:0071407,GO:0071417,GO:0071466,GO:0071495,GO:0071548,GO:0071549,GO:0071704,GO:0071840,GO:0072001,GO:0072071,GO:0072329,GO:0072330,GO:0072521,GO:0072524,GO:0080090,GO:0097159,GO:0097237,GO:0097305,GO:0097306,GO:0097327,GO:1901135,GO:1901292,GO:1901360,GO:1901361,GO:1901362,GO:1901363,GO:1901564,GO:1901575,GO:1901576,GO:1901615,GO:1901616,GO:1901617,GO:1901652,GO:1901653,GO:1901654,GO:1901655,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1902531,GO:1902533",4.1.1.32,ko:K01596,"ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko03320,ko04068,ko04151,ko04152,ko04910,ko04920,ko04922,ko04931,ko04964,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map03320,map04068,map04151,map04152,map04910,map04920,map04922,map04931,map04964",M00003,"R00431,R00726","RC00002,RC02741","ko00000,ko00001,ko00002,ko01000",-,-,-,"PEPCK_C,PEPCK_N"
lcl|NZ_JALQDU010000001.1_cds_WP_250480191.1_36,1458357.BG58_34635,1.6e-247,681.0,"COG0583@1|root,COG0583@2|Bacteria,1MW16@1224|Proteobacteria,2VPNX@28216|Betaproteobacteria,1K091@119060|Burkholderiaceae",28216|Betaproteobacteria,K,"Transcriptional regulator, LysR family",-,-,-,-,-,-,-,-,-,-,-,-,"HTH_1,LysR_substrate"
lcl|NZ_JALQDU010000001.1_cds_WP_034470315.1_37,1458357.BG58_34630,0.0,1626.0,"COG0550@1|root,COG0550@2|Bacteria,1MUFZ@1224|Proteobacteria,2VHUF@28216|Betaproteobacteria,1K0Y7@119060|Burkholderiaceae",28216|Betaproteobacteria,L,dna topoisomerase III,topB,-,5.99.1.2,ko:K03169,-,-,-,-,"ko00000,ko01000,ko03032",-,-,-,"SWIB,Topoisom_bac,Toprim,Toprim_Crpt"
lcl|NZ_JALQDU010000001.1_cds_WP_175979698.1_38,1097668.BYI23_A000180,1.52e-86,254.0,"COG0526@1|root,COG0526@2|Bacteria,1N4JB@1224|Proteobacteria,2VU8V@28216|Betaproteobacteria,1K7NI@119060|Burkholderiaceae",28216|Betaproteobacteria,CO,Thioredoxin,-,-,-,-,-,-,-,-,-,-,-,-,Thioredoxin
lcl|NZ_JALQDU010000001.1_cds_WP_250480192.1_39,1458357.BG58_34620,5.81e-236,655.0,"COG0758@1|root,COG0758@2|Bacteria,1MVF6@1224|Proteobacteria,2VH3W@28216|Betaproteobacteria,1K1PV@119060|Burkholderiaceae",28216|Betaproteobacteria,LU,DNA protecting protein DprA,smf,-,-,ko:K04096,-,-,-,-,ko00000,-,-,-,DNA_processg_A
lcl|NZ_JALQDU010000001.1_cds_WP_008352192.1_40,1458357.BG58_34615,1.86e-114,328.0,"COG0242@1|root,COG0242@2|Bacteria,1RA2P@1224|Proteobacteria,2VQ4N@28216|Betaproteobacteria,1K15X@119060|Burkholderiaceae",28216|Betaproteobacteria,J,Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions,def,-,3.5.1.88,ko:K01462,-,-,-,-,"ko00000,ko01000",-,-,-,Pep_deformylase
lcl|NZ_JALQDU010000001.1_cds_WP_250435413.1_41,1097668.BYI23_A000210,1.88e-207,576.0,"COG0223@1|root,COG0223@2|Bacteria,1MU4Q@1224|Proteobacteria,2VIS2@28216|Betaproteobacteria,1K23X@119060|Burkholderiaceae",28216|Betaproteobacteria,J,Attaches a formyl group to the free amino group of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus,fmt,-,2.1.2.9,ko:K00604,"ko00670,ko00970,map00670,map00970",-,R03940,"RC00026,RC00165","ko00000,ko00001,ko01000",-,-,-,"Formyl_trans_C,Formyl_trans_N"
lcl|NZ_JALQDU010000001.1_cds_WP_250480193.1_42,1097668.BYI23_A000220,1.09e-136,388.0,"COG1280@1|root,COG1280@2|Bacteria,1MWA1@1224|Proteobacteria,2VNUR@28216|Betaproteobacteria,1K435@119060|Burkholderiaceae",28216|Betaproteobacteria,E,PFAM Lysine exporter protein (LYSE YGGA),leuE_1,-,-,ko:K11250,-,-,-,-,"ko00000,ko02000",2.A.76.1.5,-,-,LysE
lcl|NZ_JALQDU010000001.1_cds_WP_008352188.1_43,1458357.BG58_34600,3.39e-193,537.0,"COG0501@1|root,COG0501@2|Bacteria,1MUV4@1224|Proteobacteria,2VIVB@28216|Betaproteobacteria,1K02Z@119060|Burkholderiaceae",28216|Betaproteobacteria,O,Belongs to the peptidase M48B family,htpX,-,-,ko:K03799,-,M00743,-,-,"ko00000,ko00002,ko01000,ko01002",-,-,-,Peptidase_M48
lcl|NZ_JALQDU010000001.1_cds_WP_250480194.1_44,1097668.BYI23_A000240,2.68e-310,849.0,"COG0144@1|root,COG0144@2|Bacteria,1MWPE@1224|Proteobacteria,2VI4V@28216|Betaproteobacteria,1K1JQ@119060|Burkholderiaceae",28216|Betaproteobacteria,J,Specifically methylates the cytosine at position 967 (m5C967) of 16S rRNA,sun,-,2.1.1.176,ko:K03500,-,-,-,-,"ko00000,ko01000,ko03009",-,-,-,"Methyltr_RsmB-F,NusB"
lcl|NZ_JALQDU010000001.1_cds_WP_008352184.1_45,1458357.BG58_34590,9.56e-139,392.0,"29CX4@1|root,2ZZV8@2|Bacteria,1RFY7@1224|Proteobacteria,2VR98@28216|Betaproteobacteria,1K464@119060|Burkholderiaceae",28216|Betaproteobacteria,S,signal peptide protein,-,-,-,-,-,-,-,-,-,-,-,-,DUF4390
lcl|NZ_JALQDU010000001.1_cds_WP_284502244.1_46,1458357.BG58_34585,0.0,1474.0,"COG5000@1|root,COG5000@2|Bacteria,1MWKZ@1224|Proteobacteria,2VIDI@28216|Betaproteobacteria,1K1RB@119060|Burkholderiaceae",28216|Betaproteobacteria,T,Histidine kinase,ntrY,-,-,-,-,-,-,-,-,-,-,-,"HAMP,HATPase_c,HisKA,PAS_4,PAS_7,PAS_8"
lcl|NZ_JALQDU010000001.1_cds_WP_250438795.1_47,1097668.BYI23_A000270,1.07e-144,410.0,"COG2204@1|root,COG2204@2|Bacteria,1MU0N@1224|Proteobacteria,2VKD8@28216|Betaproteobacteria,1K3GV@119060|Burkholderiaceae",28216|Betaproteobacteria,T,response regulator,ntrX,-,-,-,-,-,-,-,-,-,-,-,"HTH_8,Response_reg,Sigma54_activ_2"
lcl|NZ_JALQDU010000001.1_cds_WP_250435417.1_48,1458357.BG58_34565,1.24e-205,575.0,"COG2723@1|root,COG2723@2|Bacteria,1R87Y@1224|Proteobacteria,2WAIJ@28216|Betaproteobacteria,1K3AB@119060|Burkholderiaceae",28216|Betaproteobacteria,G,6-phospho-beta-galactosidase activity,-,-,-,-,-,-,-,-,-,-,-,-,Glyco_hydro_cc
